index	group	pruned_taxa	pruned_tree_length	shrunk_taxa	shrunk_taxa_removed	shrunk_taxa_removed_prop	shrunk_tree_length	pruned_tree_length - shrunk_tree_length	(pruned_tree_length - shrunk_tree_length)/pruned_tree_length	pd1000_tree_length	batch	hash	cpu_time	cpu_%	peak_rss	GitHub?	QNew fits locus best (/20)
1	p__Proteobacteria	17350	1329.95282	17330	20	0.001152738	1320.07831	9.87451	0.007424707	414.013							
2	p__Bacteroidota	8588	741.10793	8575	13	0.00151374	738.08999	3.01794	0.0040722	306.855							
3	p__Firmicutes_A	8243	906.84818	8232	11	0.001334466	905.22479	1.62339	0.001790145	365.187							
4	p__Actinobacteriota	7328	489.77902	7320	8	0.001091703	488.74194	1.03708	0.002117445	248.435							
5	p__Firmicutes	4216	1447.36892	4203	13	0.003083491	1441.92935	5.43957	0.003758247	445.337							
6	p__Patescibacteria	2485	731.40676	2480	5	0.002012072	730.51195	0.89481	0.00122341	490.315							
7	p__Chloroflexota	1387	249.85182	1387	0	0	249.85182	0	0	235.013							
8	p__Cyanobacteria	1372	102.6624	1369	3	0.002186589	101.24326	1.41914	0.013823367	97.051							
9	p__Verrucomicrobiota	1325	182.30794	1323	2	0.001509434	182.09039	0.21755	0.001193311	175.71							
10	p__Planctomycetota	1071	216.5018	1070	1	0.000933707	215.71873	0.78307	0.003616921	214.929							
11	p__Desulfobacterota	939	196.31852	934	5	0.005324814	195.3439	0.97462	0.004964483	195.3439	2307_medium						
12	p__Acidobacteriota	873	126.51946	871	2	0.002290951	126.26098	0.25848	0.002043006	126.26098	2307_medium						
13	p__Spirochaetota	695	104.82359	692	3	0.004316547	103.22547	1.59812	0.015245805	103.22547	2307_medium						
14	p__Campylobacterota	550	58.6646	550	0	0	58.6646	0	0	58.6646	2307_medium						
15	p__Firmicutes_C	395	30.88888	395	0	0	30.88888	0	0	30.88888	2307_phyla_smaller						
16	p__Myxococcota	393	101.39901	391	2	0.005089059	100.12949	1.26952	0.012520043	100.12949	2307_phyla_smaller						
17	p__Firmicutes_B	323	48.8757	322	1	0.003095975	48.78731	0.08839	0.001808465	48.78731	2307_phyla_smaller						
