Gene Species Taxon Signature
0 G900343135 G900343135 0.005821600440785415
0 G004366215 G004366215 0.005569753739059153
0 G013044285 G013044285 0.005569753739059153
0 G017413255 G017413255 0.005821600440785415
0 G017632945 G017632945 0.005821600440785415
0 G018971385 G018971385 0.005569753739059153
0 G000159235 G000159235 0.005569753739059153
0 G910579165 G910579165 0.005569753739059153
0 G017538865 G017538865 0.005821600440785415
0 G017965665 G017965665 0.005821600440785415
0 G017537945 G017537945 0.005821600440785415
0 G017632535 G017632535 0.005821600440785415
0 G017632855 G017632855 0.005821600440785415
0 G002255565 G002255565 0.005569753739059153
0 G903832015 G903832015 0.005569753739059153
0 G000023265 G000023265 0.005569753739059153
0 G903830655 G903830655 0.0032644246478743216
0 G001189515 G001189515 0.0032644246478743216
0 G900156035 G900156035 0.0032644246478743216
0 G012396315 G012396315 0.0032644246478743216
0 G015258485 G015258485 0.0010082327499229052
0 G001457795 G001457795 0.0010082327499229052
0 G902373375 G902373375 0.0010082327499229052
0 G016728505 G016728505 0.0032644246478743216
0 G001807265 G001807265 0.0032644246478743216
0 G001806875 G001806875 0.0032644246478743216
0 G015351335 G015351335 0.0032644246478743216
0 G018889955 G018889955 0.0010082327499229052
0 G000174015 G000174015 0.0010082327499229052
0 G903825035 G903825035 0.0010082327499229052
0 G015259035 G015259035 0.0010082327499229052
0 G900555335 G900555335 0.0010082327499229052
0 G000411555 G000411555 0.0010082327499229052
0 G015259105 G015259105 0.0010082327499229052
0 G001875725 G001875725 0.0032644246478743216
0 G001941565 G001941565 0.0032644246478743216
0 G900105505 G900105505 0.0032644246478743216
0 G900105305 G900105305 0.0032644246478743216
0 G001875665 G001875665 0.0032644246478743216
0 G900176865 G900176865 0.0032644246478743216
0 G013978595 G013978595 0.0032644246478743216
0 G014490595 G014490595 0.0032644246478743216
0 G014490555 G014490555 0.0032644246478743216
0 G003134515 G003134515 0.0010082327499229052
0 G002169115 G002169115 0.0010082327499229052
0 G003131665 G003131665 0.0010082327499229052
0 G000024225 G000024225 0.0010082327499229052
0 G903825765 G903825765 0.0010082327499229052
0 G003133405 G003133405 0.0010082327499229052
0 G015258715 G015258715 0.0010082327499229052
0 G015259045 G015259045 0.0010082327499229052
0 G900316105 G900316105 0.0010082327499229052
0 G905235165 G905235165 0.0010082327499229052
0 G000564995 G000564995 0.0010082327499229052
0 G015258605 G015258605 0.0010082327499229052
