Gene Species Taxon Signature
0 G009777815 G009777815 0.010417411091247072
0 G014252415 G014252415 0.005990885366023593
0 G017428585 G017428585 0.006307908929702862
0 G002839765 G002839765 0.006307908929702862
0 G014251975 G014251975 0.005990885366023593
0 G014252375 G014252375 0.005990885366023593
0 G014252315 G014252315 0.002273564727073576
0 G014252275 G014252275 0.0022574714036649613
0 G012518115 G012518115 0.005990885366023593
0 G002418685 G002418685 0.005990885366023593
0 G015709655 G015709655 0.005990885366023593
0 G016707285 G016707285 0.005990885366023593
0 G001804565 G001804565 0.005990885366023593
0 G017995735 G017995735 0.005990885366023593
0 G016714125 G016714125 0.005990885366023593
0 G017302895 G017302895 0.0022574714036649613
0 G018882895 G018882895 0.0022574714036649613
0 G003488525 G003488525 0.0022574714036649613
0 G008933765 G008933765 0.0022574714036649613
0 G018883125 G018883125 0.0022574714036649613
0 G016873895 G016873895 0.0022574714036649613
0 G000220255 G000220255 0.0022574714036649613
0 G012800665 G012800665 0.0022574714036649613
0 G018200315 G018200315 0.0022574714036649613
0 G014251775 G014251775 0.0012708222483297424
0 G017615615 G017615615 0.001073705505231597
0 G902766255 G902766255 0.001073705505231597
0 G017617715 G017617715 0.001073705505231597
0 G017444905 G017444905 0.001073705505231597
0 G009919265 G009919265 0.0022574714036649613
0 G003695605 G003695605 0.0022574714036649613
0 G018335795 G018335795 0.0022574714036649613
0 G002839825 G002839825 0.0022574714036649613
0 G014879635 G014879635 0.0022574714036649613
0 G008363265 G008363265 0.0022574714036649613
0 G005788035 G005788035 0.0022574714036649613
0 G903911805 G903911805 0.0022574714036649613
0 G012522895 G012522895 0.0022574714036649613
0 G016873735 G016873735 0.0022574714036649613
0 G016191145 G016191145 0.0022574714036649613
0 G017634595 G017634595 0.0005329505551935398
0 G018266735 G018266735 0.001687776802226457
0 G013348845 G013348845 0.001687776802226457
0 G903939735 G903939735 0.001687776802226457
0 G002293005 G002293005 0.001687776802226457
0 G002898675 G002898675 0.001687776802226457
0 G004322215 G004322215 0.001687776802226457
0 G902780175 G902780175 0.0005329505551935398
0 G902782225 G902782225 0.0005329505551935398
0 G017695095 G017695095 0.0005329505551935398
0 G013204605 G013204605 0.001687776802226457
0 G014727845 G014727845 0.001687776802226457
0 G903862655 G903862655 0.001687776802226457
0 G011367615 G011367615 0.001687776802226457
0 G903929035 G903929035 0.001687776802226457
0 G903915485 G903915485 0.001687776802226457
0 G016219595 G016219595 0.001687776802226457
0 G011055195 G011055195 0.001687776802226457
0 G003731685 G003731685 0.001687776802226457
0 G016707005 G016707005 0.001687776802226457
0 G002790395 G002790395 0.001687776802226457
0 G013414795 G013414795 0.001687776802226457
0 G014191195 G014191195 0.001687776802226457
0 G002344895 G002344895 0.001687776802226457
0 G016844745 G016844745 0.001687776802226457
0 G003731675 G003731675 0.001687776802226457
0 G011329105 G011329105 0.001687776802226457
0 G018882585 G018882585 0.0012708222483297424
0 G001804705 G001804705 0.0012708222483297424
0 G001899175 G001899175 0.0012708222483297424
0 G015709675 G015709675 0.0012708222483297424
0 G013359345 G013359345 0.0012708222483297424
0 G015494845 G015494845 0.0012708222483297424
0 G013360295 G013360295 0.0012708222483297424
0 G016182615 G016182615 0.0012708222483297424
0 G016929695 G016929695 0.0012708222483297424
0 G015657505 G015657505 0.0012708222483297424
0 G903843135 G903843135 0.0012708222483297424
0 G903831845 G903831845 0.0012708222483297424
0 G903901375 G903901375 0.0012708222483297424
0 G011373555 G011373555 0.0012708222483297424
0 G016788785 G016788785 0.0009000726097158033
0 G009841335 G009841335 0.0009000726097158033
0 G002898295 G002898295 0.0009000726097158033
0 G011331105 G011331105 0.0009000726097158033
0 G002050165 G002050165 0.0009000726097158033
0 G009838195 G009838195 0.0009000726097158033
0 G016873795 G016873795 0.0009000726097158033
0 G016716225 G016716225 0.0009000726097158033
0 G903874585 G903874585 0.0009000726097158033
0 G018818165 G018818165 0.0009000726097158033
0 G016708125 G016708125 0.0009000726097158033
0 G002238805 G002238805 0.0009000726097158033
0 G002786785 G002786785 0.0009000726097158033
0 G017302855 G017302855 0.0009000726097158033
0 G016719565 G016719565 0.0009000726097158033
0 G016713565 G016713565 0.0009000726097158033
0 G002344005 G002344005 0.0009000726097158033
0 G016716125 G016716125 0.0009000726097158033
0 G002894645 G002894645 0.0009000726097158033
0 G002344965 G002344965 0.0009000726097158033
0 G015493615 G015493615 0.0009000726097158033
0 G003022435 G003022435 0.0009000726097158033
0 G005792205 G005792205 0.0009000726097158033
0 G018266765 G018266765 0.0009000726097158033
0 G003023105 G003023105 0.0009000726097158033
0 G011525875 G011525875 0.0009000726097158033
0 G003158365 G003158365 0.0009000726097158033
0 G903838095 G903838095 0.0009000726097158033
0 G013285405 G013285405 0.0009000726097158033
0 G016197185 G016197185 0.0009000726097158033
0 G014252335 G014252335 0.0005329505551935398
0 G902792815 G902792815 0.0005329505551935398
0 G000758925 G000758925 0.0005329505551935398
0 G900320385 G900320385 0.0005329505551935398
0 G000614105 G000614105 0.0005329505551935398
0 G017651465 G017651465 0.0005329505551935398
0 G002395925 G002395925 0.0005329505551935398
0 G000220235 G000220235 0.0005329505551935398
0 G017561765 G017561765 0.000506516540801361
0 G900318565 G900318565 0.000506516540801361
0 G905236955 G905236955 0.000506516540801361
0 G003096815 G003096815 0.000506516540801361
0 G018715685 G018715685 0.000506516540801361
0 G000614025 G000614025 0.000506516540801361
0 G009773205 G009773205 0.0009000726097158033
0 G003022655 G003022655 0.0009000726097158033
0 G005843815 G005843815 0.0009000726097158033
0 G003135995 G003135995 0.0009000726097158033
0 G018266875 G018266875 0.0009000726097158033
0 G002746605 G002746605 0.0009000726097158033
0 G003022565 G003022565 0.0009000726097158033
0 G903859055 G903859055 0.0009000726097158033
0 G903866255 G903866255 0.0009000726097158033
0 G011373595 G011373595 0.0009000726097158033
0 G003538625 G003538625 0.0009000726097158033
0 G903994525 G903994525 0.0009000726097158033
0 G002455255 G002455255 0.0009000726097158033
0 G018059515 G018059515 0.000467123723658697
0 G014860115 G014860115 0.000467123723658697
0 G019187405 G019187405 0.000467123723658697
0 G003023125 G003023125 0.000467123723658697
0 G000013045 G000013045 0.000467123723658697
0 G903915955 G903915955 0.000467123723658697
0 G003023365 G003023365 0.000467123723658697
0 G013151245 G013151245 0.000467123723658697
0 G002405405 G002405405 0.000467123723658697
0 G002839805 G002839805 0.000467123723658697
0 G903994365 G903994365 0.000467123723658697
0 G017475005 G017475005 0.000467123723658697
0 G905233165 G905233165 0.000467123723658697
0 G900543205 G900543205 0.000467123723658697
0 G004556005 G004556005 0.000467123723658697
0 G902797435 G902797435 0.000467123723658697
0 G017551425 G017551425 0.000467123723658697
0 G000378745 G000378745 0.000467123723658697
0 G902788175 G902788175 0.000467123723658697
0 G017454265 G017454265 0.000467123723658697
0 G017651785 G017651785 0.000467123723658697
0 G000613945 G000613945 0.000467123723658697
0 G001915575 G001915575 0.000467123723658697
0 G000432655 G000432655 0.000467123723658697
0 G014252355 G014252355 0.000467123723658697
0 G002309995 G002309995 0.000467123723658697
0 G004555145 G004555145 0.000467123723658697
0 G002451795 G002451795 0.000467123723658697
0 G002449535 G002449535 0.000467123723658697
0 G017509375 G017509375 0.000467123723658697
0 G017612675 G017612675 0.000467123723658697
0 G002438635 G002438635 0.00013768225710510454
0 G016720145 G016720145 0.000467123723658697
0 G001953955 G001953955 0.00013768225710510454
0 G016288775 G016288775 0.00013768225710510454
0 G900319405 G900319405 7.855922387527611e-05
0 G000613345 G000613345 7.855922387527611e-05
0 G016709765 G016709765 0.00029858134795558667
0 G016218085 G016218085 0.00029858134795558667
0 G011372505 G011372505 0.00029858134795558667
0 G013042995 G013042995 0.00029858134795558667
0 G016927595 G016927595 0.00029858134795558667
0 G003519545 G003519545 0.00029858134795558667
0 G903871235 G903871235 0.0002908873657467085
0 G903895195 G903895195 0.0002908873657467085
