Gene Species Taxon Signature
0 G002727435 G002727435 0.05136508020621378
0 G017995665 G017995665 0.003579682823892169
0 G902620405 G902620405 0.05136508020621378
0 G013911545 G013911545 0.05136508020621378
0 G002723375 G002723375 0.05136508020621378
0 G014239735 G014239735 0.05136508020621378
0 G002721675 G002721675 0.05136508020621378
0 G009392285 G009392285 0.05136508020621378
0 G002700125 G002700125 0.05136508020621378
0 G002710135 G002710135 0.05136508020621378
0 G012839565 G012839565 0.003579682823892169
0 G002305635 G002305635 0.0026477507745952993
0 G012800995 G012800995 0.0026477507745952993
0 G002719425 G002719425 0.05136508020621378
0 G002711005 G002711005 0.05136508020621378
0 G002721875 G002721875 0.05136508020621378
0 G002703265 G002703265 0.05136508020621378
0 G002715665 G002715665 0.05136508020621378
0 G002711965 G002711965 0.05136508020621378
0 G012514645 G012514645 0.0026477507745952993
0 G011620465 G011620465 0.0026477507745952993
0 G002409365 G002409365 0.0026477507745952993
0 G002399085 G002399085 0.0026477507745952993
0 G003532515 G003532515 0.0026477507745952993
0 G008373205 G008373205 0.05136508020621378
0 G002171675 G002171675 0.05136508020621378
0 G002699165 G002699165 0.05136508020621378
0 G009391605 G009391605 0.05136508020621378
0 G002694895 G002694895 0.05136508020621378
0 G009937255 G009937255 0.05136508020621378
0 G002721615 G002721615 0.05136508020621378
0 G002708085 G002708085 0.05136508020621378
0 G002718455 G002718455 0.05136508020621378
0 G002718415 G002718415 0.009937423838644852
0 G002717385 G002717385 0.009937423838644852
0 G002714425 G002714425 0.009937423838644852
0 G002708145 G002708145 0.009937423838644852
0 G002728715 G002728715 0.009937423838644852
0 G002710905 G002710905 0.009937423838644852
0 G002722455 G002722455 0.009937423838644852
0 G002712125 G002712125 0.009937423838644852
0 G002306745 G002306745 0.009937423838644852
0 G002718395 G002718395 0.002602097324212617
0 G012270805 G012270805 0.002602097324212617
0 G003228125 G003228125 0.002602097324212617
0 G002730795 G002730795 0.002602097324212617
0 G002306815 G002306815 0.002602097324212617
0 G013204545 G013204545 0.002602097324212617
0 G002411175 G002411175 0.0026477507745952993
0 G002409625 G002409625 0.0026477507745952993
0 G001603765 G001603765 0.0017320942887205704
0 G002423495 G002423495 0.0012018028487061697
0 G905614375 G905614375 0.002602097324212617
0 G002239045 G002239045 0.002602097324212617
0 G002687335 G002687335 0.002602097324212617
0 G009837685 G009837685 0.002602097324212617
0 G009838175 G009838175 0.002602097324212617
0 G011620445 G011620445 0.0012018028487061697
0 G018649665 G018649665 0.002602097324212617
0 G002719675 G002719675 0.002602097324212617
0 G009392215 G009392215 0.002602097324212617
0 G018673955 G018673955 0.002602097324212617
0 G009392295 G009392295 0.002602097324212617
0 G008373165 G008373165 0.002602097324212617
0 G018650845 G018650845 0.002602097324212617
0 G012965485 G012965485 0.002602097324212617
0 G009392195 G009392195 0.002602097324212617
0 G002725925 G002725925 0.002602097324212617
0 G002501045 G002501045 0.002602097324212617
0 G003228105 G003228105 0.002602097324212617
0 G002435305 G002435305 0.002602097324212617
0 G009392675 G009392675 0.00015012385245987504
0 G002432795 G002432795 0.0012018028487061697
0 G002347705 G002347705 0.0012018028487061697
0 G001567105 G001567105 0.0002467022855601362
