Gene Species Taxon Signature
0 G017453365 G017453365 0.0031975537399337303
0 G017935065 G017935065 0.0026078746601254097
0 G000319365 G000319365 0.04272892664873663
0 G000277795 G000277795 0.04272892664873663
0 G000508245 G000508245 0.04272892664873663
0 G000179035 G000179035 0.04272892664873663
0 G000477415 G000477415 0.04272892664873663
0 G000281235 G000281235 0.04272892664873663
0 G002135175 G002135175 0.02000951360788431
0 G000200735 G000200735 0.02000951360788431
0 G000238995 G000238995 0.02000951360788431
0 G001645765 G001645765 0.02000951360788431
0 G902712995 G902712995 0.02000951360788431
0 G000815065 G000815065 0.006895922627534116
0 G000008205 G000008205 0.006895922627534116
0 G900660545 G900660545 0.0026078746601254097
0 G001951355 G001951355 0.0026078746601254097
0 G000218525 G000218525 0.0026078746601254097
0 G000941075 G000941075 0.0026078746601254097
0 G017462445 G017462445 0.001689302405719614
0 G017463765 G017463765 0.001689302405719614
0 G000183385 G000183385 0.0026078746601254097
0 G005061465 G005061465 0.0026078746601254097
0 G000063605 G000063605 0.0026078746601254097
0 G017467165 G017467165 0.001689302405719614
0 G017467105 G017467105 0.001689302405719614
0 G017646745 G017646745 0.001689302405719614
0 G017456895 G017456895 0.001689302405719614
0 G017508665 G017508665 0.0014013711356605637
0 G017501245 G017501245 0.0014013711356605637
0 G900660515 G900660515 0.0026078746601254097
0 G000702785 G000702785 0.0026078746601254097
0 G000367765 G000367765 0.0026078746601254097
0 G003253435 G003253435 0.0026078746601254097
0 G000266865 G000266865 0.0026078746601254097
0 G000695835 G000695835 0.0026078746601254097
0 G015708155 G015708155 0.0026078746601254097
0 G016925555 G016925555 0.0026078746601254097
0 G900476125 G900476125 0.0026078746601254097
0 G004365095 G004365095 0.0026078746601254097
0 G012934885 G012934885 0.0026078746601254097
0 G900476105 G900476105 0.0026078746601254097
0 G000969765 G000969765 0.0026078746601254097
0 G017453245 G017453245 0.0014013711356605637
0 G015063525 G015063525 0.0014013711356605637
0 G017116825 G017116825 0.0026078746601254097
0 G017959905 G017959905 0.0026078746601254097
0 G900660705 G900660705 0.0026078746601254097
0 G017481225 G017481225 0.0014013711356605637
0 G017522795 G017522795 0.0014013711356605637
0 G017533565 G017533565 0.0014013711356605637
0 G017936125 G017936125 0.0014013711356605637
0 G015063445 G015063445 0.0014013711356605637
0 G017508195 G017508195 0.0014013711356605637
0 G017631325 G017631325 0.0014013711356605637
0 G017501175 G017501175 0.0014013711356605637
0 G009784555 G009784555 0.0014013711356605637
0 G017504605 G017504605 0.0014013711356605637
0 G017621415 G017621415 0.0014013711356605637
0 G017462605 G017462605 0.0014013711356605637
0 G017410065 G017410065 0.0014013711356605637
0 G017503105 G017503105 0.0005406880773546043
0 G017472305 G017472305 0.0005406880773546043
0 G900660525 G900660525 0.0026078746601254097
0 G003332325 G003332325 0.0026078746601254097
0 G018913965 G018913965 0.0026078746601254097
0 G013348745 G013348745 0.0026078746601254097
0 G900660725 G900660725 0.0026078746601254097
0 G009780375 G009780375 0.0005406880773546043
0 G016292155 G016292155 0.0005406880773546043
0 G009784765 G009784765 0.0005406880773546043
0 G015063385 G015063385 0.0005406880773546043
0 G017462485 G017462485 0.0005406880773546043
0 G017630995 G017630995 0.0005406880773546043
0 G017463125 G017463125 0.0005406880773546043
0 G902796505 G902796505 0.0005406880773546043
0 G017411605 G017411605 0.0005406880773546043
0 G009784375 G009784375 0.0005406880773546043
0 G018384735 G018384735 0.0004922509238901161
0 G016302405 G016302405 0.0004922509238901161
0 G017959485 G017959485 0.0004922509238901161
0 G017619495 G017619495 0.0004922509238901161
0 G000712185 G000712185 0.0026078746601254097
0 G900660605 G900660605 0.0026078746601254097
0 G000701865 G000701865 0.0026078746601254097
0 G006228185 G006228185 0.0026078746601254097
0 G900660635 G900660635 0.0026078746601254097
0 G000085865 G000085865 0.0026078746601254097
0 G000027325 G000027325 0.0026078746601254097
0 G000687775 G000687775 0.0026078746601254097
0 G003855455 G003855455 0.0026078746601254097
0 G013008635 G013008635 0.0026078746601254097
0 G018913985 G018913985 0.0026078746601254097
0 G902789825 G902789825 0.0026078746601254097
0 G006385795 G006385795 0.0026078746601254097
0 G900167035 G900167035 0.0026078746601254097
0 G003383595 G003383595 0.0026078746601254097
0 G000622205 G000622205 0.0026078746601254097
0 G001272835 G001272835 0.0026078746601254097
0 G017445805 G017445805 0.0026078746601254097
0 G006385185 G006385185 0.0026078746601254097
0 G001553195 G001553195 0.0026078746601254097
0 G000828855 G000828855 0.0026078746601254097
0 G000702705 G000702705 0.0026078746601254097
0 G006546935 G006546935 0.0026078746601254097
0 G014352955 G014352955 0.0026078746601254097
0 G004365165 G004365165 0.0026078746601254097
0 G900660645 G900660645 0.0026078746601254097
0 G002372615 G002372615 0.0026078746601254097
0 G000524555 G000524555 0.0026078746601254097
0 G902782585 G902782585 0.0026078746601254097
0 G004216495 G004216495 0.0026078746601254097
0 G900549915 G900549915 0.0026078746601254097
0 G900316595 G900316595 0.0026078746601254097
0 G017084445 G017084445 0.0026078746601254097
0 G002297045 G002297045 0.0026078746601254097
0 G006491995 G006491995 0.0026078746601254097
0 G002404995 G002404995 0.0026078746601254097
0 G000526955 G000526955 0.0026078746601254097
0 G900660665 G900660665 0.0026078746601254097
0 G900770925 G900770925 0.0026078746601254097
0 G900660695 G900660695 0.0026078746601254097
0 G000733865 G000733865 0.0026078746601254097
0 G000420105 G000420105 0.0026078746601254097
0 G000620005 G000620005 0.0026078746601254097
0 G016288695 G016288695 0.0026078746601254097
0 G900660445 G900660445 0.0026078746601254097
0 G004011965 G004011965 0.0026078746601254097
0 G009792315 G009792315 0.0026078746601254097
0 G900660495 G900660495 0.0026078746601254097
0 G012220205 G012220205 0.0026078746601254097
0 G009268105 G009268105 0.0026078746601254097
0 G902800015 G902800015 0.0026078746601254097
0 G900660675 G900660675 0.0026078746601254097
0 G902791895 G902791895 0.0026078746601254097
0 G000621085 G000621085 0.0026078746601254097
0 G000701805 G000701805 0.0026078746601254097
0 G000209735 G000209735 0.0026078746601254097
0 G900660685 G900660685 0.0026078746601254097
0 G000770195 G000770195 0.0026078746601254097
0 G000026765 G000026765 0.0026078746601254097
0 G017448105 G017448105 0.0026078746601254097
0 G900660735 G900660735 0.0026078746601254097
0 G900631685 G900631685 0.0026078746601254097
0 G002276225 G002276225 0.0026078746601254097
0 G900176265 G900176265 0.0026078746601254097
0 G002009625 G002009625 0.0026078746601254097
0 G001307505 G001307505 0.0026078746601254097
0 G002437105 G002437105 0.0026078746601254097
0 G018714385 G018714385 0.0026078746601254097
0 G902766725 G902766725 0.0026078746601254097
0 G009268075 G009268075 0.0026078746601254097
0 G900660715 G900660715 0.0026078746601254097
0 G000701485 G000701485 0.0026078746601254097
0 G005774685 G005774685 0.0026078746601254097
0 G002245785 G002245785 0.0026078746601254097
0 G018024475 G018024475 0.0026078746601254097
0 G003263355 G003263355 0.0026078746601254097
0 G017633835 G017633835 0.0026078746601254097
0 G900476085 G900476085 0.0026078746601254097
0 G017645255 G017645255 0.0026078746601254097
0 G000731915 G000731915 0.0026078746601254097
0 G900313465 G900313465 0.0026078746601254097
0 G000702805 G000702805 0.0026078746601254097
0 G000686585 G000686585 0.0026078746601254097
0 G910589685 G910589685 0.0026078746601254097
0 G007821455 G007821455 0.0026078746601254097
0 G000687815 G000687815 0.0026078746601254097
0 G900660655 G900660655 0.0026078746601254097
0 G007859615 G007859615 0.0026078746601254097
0 G014068355 G014068355 0.0026078746601254097
0 G018064845 G018064845 0.0026078746601254097
0 G902773085 G902773085 0.0026078746601254097
0 G007858495 G007858495 0.0026078746601254097
0 G017470005 G017470005 0.0026078746601254097
0 G000712165 G000712165 0.0026078746601254097
0 G000518305 G000518305 0.0026078746601254097
0 G017394375 G017394375 0.0026078746601254097
0 G000178375 G000178375 0.0026078746601254097
0 G003688445 G003688445 0.0026078746601254097
0 G002399505 G002399505 0.0026078746601254097
0 G013139135 G013139135 0.0026078746601254097
0 G000025845 G000025845 0.0026078746601254097
0 G900763245 G900763245 0.0026078746601254097
0 G902771745 G902771745 0.0026078746601254097
0 G018914005 G018914005 0.0026078746601254097
0 G013214765 G013214765 0.0026078746601254097
0 G001189415 G001189415 0.0026078746601254097
0 G012934855 G012934855 0.0026078746601254097
0 G900544585 G900544585 0.0026078746601254097
0 G002483745 G002483745 0.0026078746601254097
0 G002404835 G002404835 0.0026078746601254097
0 G001900245 G001900245 0.0026078746601254097
0 G000701785 G000701785 0.0026078746601254097
0 G000019345 G000019345 0.0026078746601254097
0 G000169535 G000169535 0.0026078746601254097
0 G900660595 G900660595 0.0026078746601254097
0 G900539865 G900539865 0.0026078746601254097
0 G013008815 G013008815 0.0026078746601254097
0 G900316035 G900316035 0.0026078746601254097
0 G009884515 G009884515 0.0026078746601254097
0 G000723365 G000723365 0.0026078746601254097
0 G003640545 G003640545 0.0026078746601254097
0 G904501665 G904501665 0.0026078746601254097
0 G001641205 G001641205 0.0026078746601254097
0 G900660575 G900660575 0.0026078746601254097
0 G001641225 G001641225 0.0026078746601254097
0 G012516495 G012516495 0.0026078746601254097
0 G000434395 G000434395 0.0026078746601254097
0 G000687795 G000687795 0.0026078746601254097
0 G000685905 G000685905 0.0026078746601254097
0 G000383515 G000383515 0.0026078746601254097
0 G002399765 G002399765 0.0026078746601254097
0 G002298905 G002298905 0.0024403500481438275
0 G000011225 G000011225 0.0024403500481438275
0 G016924775 G016924775 0.0024403500481438275
0 G900660485 G900660485 0.0012443950199426755
0 G017633195 G017633195 0.0012443950199426755
0 G017450325 G017450325 0.0012443950199426755
0 G000701825 G000701825 0.0012443950199426755
0 G018883815 G018883815 0.0012443950199426755
0 G017479485 G017479485 0.0012443950199426755
0 G000582535 G000582535 0.0012443950199426755
0 G910578525 G910578525 0.0012443950199426755
0 G014803815 G014803815 0.0012443950199426755
0 G001179805 G001179805 0.0012443950199426755
0 G013214845 G013214845 0.0012443950199426755
0 G014238525 G014238525 0.0012443950199426755
0 G017626815 G017626815 0.0012443950199426755
0 G900660615 G900660615 0.0012443950199426755
0 G014238225 G014238225 0.0012443950199426755
0 G016296285 G016296285 0.0012443950199426755
0 G017511585 G017511585 0.0012443950199426755
0 G900317165 G900317165 0.0012443950199426755
0 G014803855 G014803855 0.0012443950199426755
0 G000384195 G000384195 0.0012443950199426755
0 G017445245 G017445245 0.0012443950199426755
0 G017052595 G017052595 0.00040018210162332966
0 G910577085 G910577085 0.00040018210162332966
0 G910579655 G910579655 0.00040018210162332966
0 G010365785 G010365785 0.00027718535939104557
