Gene Species Taxon Signature
0 G016206485 G016206485 0.05452332401139158
0 G017302815 G017302815 0.00916523495744491
0 G003482625 G003482625 0.00916523495744491
0 G014193115 G014193115 0.00916523495744491
0 G003501525 G003501525 0.00916523495744491
0 G005799475 G005799475 0.00916523495744491
0 G009691725 G009691725 0.002275735616517961
0 G900317365 G900317365 0.00916523495744491
0 G004556055 G004556055 0.00916523495744491
0 G007745635 G007745635 0.00916523495744491
0 G902803085 G902803085 0.00916523495744491
0 G900318195 G900318195 0.00916523495744491
0 G902772705 G902772705 0.00916523495744491
0 G002901265 G002901265 0.00916523495744491
0 G017441605 G017441605 0.00916523495744491
0 G008312935 G008312935 0.00916523495744491
0 G005792145 G005792145 0.002275735616517961
0 G009692015 G009692015 0.002275735616517961
0 G002686945 G002686945 0.002275735616517961
0 G014238415 G014238415 0.002275735616517961
0 G017550965 G017550965 0.002275735616517961
0 G903961015 G903961015 0.002275735616517961
0 G009691915 G009691915 0.002275735616517961
0 G007859855 G007859855 0.002275735616517961
0 G005799205 G005799205 0.002275735616517961
0 G902786505 G902786505 0.002275735616517961
0 G012960475 G012960475 0.002275735616517961
0 G002684655 G002684655 0.002275735616517961
0 G012270385 G012270385 0.0014119711512280968
0 G903902515 G903902515 0.0019165382037440463
0 G903919715 G903919715 0.0019165382037440463
0 G002311925 G002311925 0.0019165382037440463
0 G009691705 G009691705 0.0019165382037440463
0 G007860105 G007860105 0.0014119711512280968
0 G016779185 G016779185 0.0014119711512280968
0 G002700845 G002700845 0.0019165382037440463
0 G016872915 G016872915 0.0019165382037440463
0 G016873335 G016873335 0.0019165382037440463
0 G902797455 G902797455 0.000991732931214809
0 G017434455 G017434455 0.000991732931214809
0 G903914045 G903914045 0.0019165382037440463
0 G005799495 G005799495 0.0019165382037440463
0 G009691785 G009691785 0.0019165382037440463
0 G000346505 G000346505 0.000886149938156786
0 G902796885 G902796885 0.000886149938156786
0 G902766935 G902766935 0.0007383751644267441
0 G007754155 G007754155 0.0007383751644267441
0 G014154935 G014154935 0.0007383751644267441
0 G018671175 G018671175 0.0019165382037440463
0 G004213555 G004213555 0.0019165382037440463
0 G005789005 G005789005 0.0019165382037440463
0 G016764635 G016764635 0.0019165382037440463
0 G002746235 G002746235 0.0019165382037440463
0 G903938205 G903938205 0.0019165382037440463
0 G002168105 G002168105 0.0019165382037440463
0 G009926625 G009926625 0.0019165382037440463
0 G903831295 G903831295 0.0019165382037440463
0 G007751475 G007751475 0.0019165382037440463
0 G011524785 G011524785 0.0019165382037440463
0 G005801395 G005801395 0.0019165382037440463
0 G002705085 G002705085 0.0019165382037440463
0 G016779225 G016779225 0.0019165382037440463
0 G007131555 G007131555 0.0019165382037440463
0 G905480285 G905480285 0.0019165382037440463
0 G005787685 G005787685 0.0019165382037440463
0 G005804005 G005804005 0.0019165382037440463
0 G903898755 G903898755 0.0019165382037440463
0 G011051855 G011051855 0.0019165382037440463
0 G016763115 G016763115 0.0019165382037440463
0 G005790605 G005790605 0.00046210909028834976
