Gene Species Taxon Signature
0 G017629735 G017629735 0.010788341976422556
0 G018384485 G018384485 0.010788341976422556
0 G902615835 G902615835 0.0030165830557715117
0 G017385345 G017385345 0.003163941479291188
0 G902612125 G902612125 0.0030165830557715117
0 G002713685 G002713685 0.0030165830557715117
0 G004551905 G004551905 0.003163941479291188
0 G017629455 G017629455 0.003163941479291188
0 G017628025 G017628025 0.003163941479291188
0 G902770045 G902770045 0.003163941479291188
0 G016280825 G016280825 0.003163941479291188
0 G902764415 G902764415 0.003163941479291188
0 G902569115 G902569115 0.0022458853064141727
0 G002692535 G002692535 0.0022458853064141727
0 G017403825 G017403825 0.003163941479291188
0 G017514235 G017514235 0.003163941479291188
0 G002315875 G002315875 0.003163941479291188
0 G017652705 G017652705 0.003163941479291188
0 G902800055 G902800055 0.003163941479291188
0 G017405115 G017405115 0.003163941479291188
0 G002392765 G002392765 0.0029209129406717635
0 G902772905 G902772905 0.0029209129406717635
0 G017965685 G017965685 0.0029209129406717635
0 G900299365 G900299365 0.0022458853064141727
0 G002689665 G002689665 0.0022458853064141727
0 G018607205 G018607205 0.0022458853064141727
0 G002686835 G002686835 0.0022458853064141727
0 G904502135 G904502135 0.0029209129406717635
0 G002321305 G002321305 0.0029209129406717635
0 G016288465 G016288465 0.0029209129406717635
0 G900320855 G900320855 0.0029209129406717635
0 G900767325 G900767325 0.0029209129406717635
0 G902773015 G902773015 0.0029209129406717635
0 G017628165 G017628165 0.0029209129406717635
0 G016303225 G016303225 0.0029209129406717635
0 G017959645 G017959645 0.0029209129406717635
0 G017507065 G017507065 0.0029209129406717635
0 G002304435 G002304435 0.0022458853064141727
0 G902618175 G902618175 0.0022458853064141727
0 G903861185 G903861185 0.0022458853064141727
0 G016871595 G016871595 0.0022458853064141727
0 G005786775 G005786775 0.0022458853064141727
0 G002168015 G002168015 0.0022458853064141727
0 G002167265 G002167265 0.0022458853064141727
0 G016871775 G016871775 0.0022458853064141727
0 G002591725 G002591725 0.0022458853064141727
0 G902580225 G902580225 0.0017596013214963733
0 G903900845 G903900845 0.0017596013214963733
0 G018645475 G018645475 0.0017596013214963733
0 G002364975 G002364975 0.0017596013214963733
0 G002171765 G002171765 0.0010006291554440826
0 G016302725 G016302725 0.0029209129406717635
0 G016794665 G016794665 0.0010006291554440826
0 G005787865 G005787865 0.0010006291554440826
0 G010027235 G010027235 0.0010006291554440826
0 G903869675 G903869675 0.0010006291554440826
0 G002304425 G002304425 0.0010006291554440826
0 G902780865 G902780865 0.0029209129406717635
0 G018646565 G018646565 0.0010006291554440826
0 G903906135 G903906135 0.0010006291554440826
0 G002726435 G002726435 0.0010006291554440826
0 G903856725 G903856725 0.0010006291554440826
0 G905478775 G905478775 0.0005746893704332227
0 G903890485 G903890485 0.0002875024899826357
0 G903887455 G903887455 0.0002875024899826357
0 G016284515 G016284515 0.0029209129406717635
0 G902799385 G902799385 0.0029209129406717635
0 G017389885 G017389885 0.0029209129406717635
0 G902801025 G902801025 0.0029209129406717635
0 G017631385 G017631385 0.0029209129406717635
0 G016296065 G016296065 0.0029209129406717635
0 G017508315 G017508315 0.0029209129406717635
0 G902788415 G902788415 0.0029209129406717635
0 G017650345 G017650345 0.0029209129406717635
0 G002449695 G002449695 0.0029209129406717635
0 G017463935 G017463935 0.0029209129406717635
0 G002369235 G002369235 0.0029209129406717635
0 G017412325 G017412325 0.0029209129406717635
0 G902776615 G902776615 0.0029209129406717635
0 G017542055 G017542055 0.0029209129406717635
0 G017395505 G017395505 0.0029209129406717635
0 G017525475 G017525475 0.0029209129406717635
0 G002395905 G002395905 0.0029209129406717635
0 G900321575 G900321575 0.0029209129406717635
0 G002371755 G002371755 0.0029209129406717635
0 G017432385 G017432385 0.0029209129406717635
0 G015061665 G015061665 0.0029209129406717635
0 G902775595 G902775595 0.0029209129406717635
0 G002440145 G002440145 0.0029209129406717635
0 G002298665 G002298665 0.0029209129406717635
0 G900321255 G900321255 0.0029209129406717635
0 G002363575 G002363575 0.0029209129406717635
0 G002371135 G002371135 0.0029209129406717635
0 G017418445 G017418445 0.0029209129406717635
0 G017447805 G017447805 0.0029209129406717635
0 G902799955 G902799955 0.0029209129406717635
0 G017406465 G017406465 0.0029209129406717635
0 G017520845 G017520845 0.0029209129406717635
0 G902761275 G902761275 0.0029209129406717635
0 G017648225 G017648225 0.0029209129406717635
0 G017547265 G017547265 0.0029209129406717635
0 G900771165 G900771165 0.0009780170091785458
0 G017629975 G017629975 0.0008936484535122467
0 G016303095 G016303095 0.0008936484535122467
