Gene Species Taxon Signature
0 G013426755 G013426755 0.02579752336296752
0 G902797395 G902797395 0.02579752336296752
0 G003454065 G003454065 0.02579752336296752
0 G014238825 G014238825 0.0043768579000591544
0 G000266885 G000266885 0.0043768579000591544
0 G002406055 G002406055 0.00827260780345694
0 G017453705 G017453705 0.00827260780345694
0 G902773355 G902773355 0.00827260780345694
0 G016302165 G016302165 0.006140082657537152
0 G019113245 G019113245 0.0032406674494843703
0 G000243335 G000243335 0.0043768579000591544
0 G002717505 G002717505 0.002109952722758201
0 G002452215 G002452215 0.0016128341659860624
0 G014238275 G014238275 0.002109952722758201
0 G002729885 G002729885 0.002109952722758201
0 G018240245 G018240245 0.002109952722758201
0 G016788945 G016788945 0.002109952722758201
0 G004770105 G004770105 0.0007152132271274101
0 G017450845 G017450845 0.0016128341659860624
0 G902773215 G902773215 0.0016128341659860624
0 G017421145 G017421145 0.0016128341659860624
0 G902796985 G902796985 0.0016128341659860624
0 G017629575 G017629575 0.0016128341659860624
0 G018064785 G018064785 0.001567790061835532
0 G002392275 G002392275 0.001567790061835532
0 G018384055 G018384055 0.001567790061835532
0 G902772605 G902772605 0.001567790061835532
0 G017614655 G017614655 0.001567790061835532
0 G902783155 G902783155 0.001567790061835532
0 G016294035 G016294035 0.001567790061835532
0 G018711525 G018711525 0.001567790061835532
0 G017694915 G017694915 0.001567790061835532
0 G017694595 G017694595 0.001567790061835532
0 G012800465 G012800465 0.001567790061835532
0 G016293645 G016293645 0.001567790061835532
0 G000410535 G000410535 0.001567790061835532
0 G017935745 G017935745 0.001567790061835532
0 G905233535 G905233535 0.001567790061835532
0 G902797055 G902797055 0.001567790061835532
0 G017544745 G017544745 0.001567790061835532
0 G002437725 G002437725 0.001567790061835532
0 G004294855 G004294855 0.001567790061835532
0 G900541945 G900541945 0.001567790061835532
0 G002150035 G002150035 0.0007152132271274101
0 G002812045 G002812045 0.0007152132271274101
0 G017390125 G017390125 0.001567790061835532
0 G002478955 G002478955 0.001567790061835532
0 G002373325 G002373325 0.001567790061835532
0 G900317625 G900317625 0.001567790061835532
0 G016288205 G016288205 0.00045464705463124487
0 G017550685 G017550685 0.00045464705463124487
0 G003114855 G003114855 0.0007152132271274101
0 G004770895 G004770895 0.0007152132271274101
0 G002811765 G002811765 0.0007152132271274101
0 G004769405 G004769405 0.0007152132271274101
0 G002811475 G002811475 0.0007152132271274101
0 G004769555 G004769555 0.0007152132271274101
0 G016788865 G016788865 0.0007152132271274101
0 G002730875 G002730875 0.0007152132271274101
0 G002812205 G002812205 0.0007152132271274101
0 G000244755 G000244755 0.0007152132271274101
0 G003112675 G003112675 0.0007152132271274101
