Gene Species Taxon Signature
0 G002325765 G002325765 0.051493787164003914
0 G001730065 G001730065 0.051493787164003914
0 G002682985 G002682985 0.051493787164003914
0 G000508245 G000508245 0.036348491486289713
0 G000277795 G000277795 0.036348491486289713
0 G000319365 G000319365 0.036348491486289713
0 G000281235 G000281235 0.036348491486289713
0 G000477415 G000477415 0.036348491486289713
0 G000179035 G000179035 0.036348491486289713
0 G002135175 G002135175 0.01588759594221332
0 G000238995 G000238995 0.01588759594221332
0 G000200735 G000200735 0.01588759594221332
0 G001645765 G001645765 0.01588759594221332
0 G902712995 G902712995 0.01588759594221332
0 G000008205 G000008205 0.005843291118792868
0 G000815065 G000815065 0.005843291118792868
0 G900660545 G900660545 0.0024468420427109553
0 G902596985 G902596985 0.0023514933767379426
0 G001951355 G001951355 0.0024468420427109553
0 G000218525 G000218525 0.0024468420427109553
0 G000941075 G000941075 0.0016789067068243649
0 G000183385 G000183385 0.0016789067068243649
0 G005061465 G005061465 0.0016789067068243649
0 G000266865 G000266865 0.0016789067068243649
0 G000063605 G000063605 0.0016789067068243649
0 G003253435 G003253435 0.0016789067068243649
0 G000702785 G000702785 0.0016789067068243649
0 G000367765 G000367765 0.0016789067068243649
0 G900660515 G900660515 0.0016789067068243649
0 G015708155 G015708155 0.0015155017320768105
0 G000695835 G000695835 0.0015155017320768105
0 G016925555 G016925555 0.0015155017320768105
0 G004365095 G004365095 0.0011825500318373846
0 G900476125 G900476125 0.0011825500318373846
0 G900476105 G900476105 0.0011825500318373846
0 G012934885 G012934885 0.0011825500318373846
0 G000969765 G000969765 0.0011825500318373846
0 G902524655 G902524655 0.0023514933767379426
0 G017116825 G017116825 0.0011825500318373846
0 G017959905 G017959905 0.0011825500318373846
0 G900660705 G900660705 0.0011825500318373846
0 G902541695 G902541695 0.0023514933767379426
0 G004296535 G004296535 0.0023514933767379426
0 G003331935 G003331935 0.0023514933767379426
0 G902524845 G902524845 0.0023514933767379426
0 G902580265 G902580265 0.0023514933767379426
0 G902531755 G902531755 0.0023514933767379426
0 G902556405 G902556405 0.0023514933767379426
0 G002703515 G002703515 0.0023514933767379426
0 G902581005 G902581005 0.0023514933767379426
0 G902530595 G902530595 0.0023514933767379426
0 G902584635 G902584635 0.0023514933767379426
0 G902540655 G902540655 0.0023514933767379426
0 G902537415 G902537415 0.0023514933767379426
0 G902596605 G902596605 0.0023514933767379426
0 G000147015 G000147015 0.0023514933767379426
0 G902537235 G902537235 0.0023514933767379426
0 G902537215 G902537215 0.0023514933767379426
0 G902576905 G902576905 0.0023514933767379426
0 G902574225 G902574225 0.0023514933767379426
0 G902611475 G902611475 0.0023514933767379426
0 G902619165 G902619165 0.0023514933767379426
0 G902560505 G902560505 0.0023514933767379426
0 G017656055 G017656055 0.0016153420347033657
0 G902562285 G902562285 0.0011825500318373846
0 G902578545 G902578545 0.0016153420347033657
0 G902625475 G902625475 0.0016153420347033657
0 G902573735 G902573735 0.0016153420347033657
0 G902567635 G902567635 0.0016153420347033657
0 G902586885 G902586885 0.0016153420347033657
0 G002239085 G002239085 0.0011825500318373846
0 G008189525 G008189525 0.0011825500318373846
0 G902611605 G902611605 0.0011825500318373846
0 G902599445 G902599445 0.0011825500318373846
0 G002699695 G002699695 0.0011825500318373846
0 G902586855 G902586855 0.0011825500318373846
0 G902570265 G902570265 0.0011825500318373846
0 G008189285 G008189285 0.0011046602912450014
0 G001464915 G001464915 0.0011825500318373846
0 G002842925 G002842925 0.0011825500318373846
0 G014239455 G014239455 0.0011825500318373846
0 G900143235 G900143235 0.0011825500318373846
0 G000744895 G000744895 0.0011825500318373846
0 G018830415 G018830415 0.0011825500318373846
0 G002842735 G002842735 0.0011825500318373846
0 G001296025 G001296025 0.0011046602912450014
0 G008189405 G008189405 0.0011046602912450014
0 G002855495 G002855495 0.0011046602912450014
0 G009995225 G009995225 0.0011046602912450014
0 G002482865 G002482865 0.0010564065266094175
0 G018991295 G018991295 0.0010564065266094175
0 G009905735 G009905735 0.0010564065266094175
0 G900660525 G900660525 0.0011825500318373846
0 G009842205 G009842205 0.0010564065266094175
0 G009828055 G009828055 0.0010564065266094175
0 G011523445 G011523445 0.0010564065266094175
0 G003332325 G003332325 0.0011825500318373846
0 G900660725 G900660725 0.0011825500318373846
0 G013348745 G013348745 0.0011825500318373846
0 G018913965 G018913965 0.0011825500318373846
0 G001556995 G001556995 0.0010564065266094175
0 G015134695 G015134695 0.0010564065266094175
0 G000828855 G000828855 0.0011825500318373846
0 G000702705 G000702705 0.0011825500318373846
0 G006546935 G006546935 0.0011825500318373846
0 G001553195 G001553195 0.0011825500318373846
0 G006385185 G006385185 0.0011825500318373846
0 G000331285 G000331285 0.0010564065266094175
0 G002395105 G002395105 0.0010564065266094175
0 G015134335 G015134335 0.0010564065266094175
0 G017444125 G017444125 0.0010564065266094175
0 G902533625 G902533625 0.0010564065266094175
0 G001663175 G001663175 0.0010564065266094175
0 G013911835 G013911835 0.0010564065266094175
0 G013822695 G013822695 0.0010564065266094175
0 G017477855 G017477855 0.0010564065266094175
0 G003724185 G003724185 0.0010564065266094175
0 G000422985 G000422985 0.0010564065266094175
0 G004292705 G004292705 0.0010564065266094175
0 G001557325 G001557325 0.0010564065266094175
0 G902600895 G902600895 0.0010564065266094175
0 G002155425 G002155425 0.0010564065266094175
0 G014252415 G014252415 0.0010564065266094175
0 G015134415 G015134415 0.0010564065266094175
0 G014352955 G014352955 0.0011825500318373846
0 G000712185 G000712185 0.0011825500318373846
0 G900660605 G900660605 0.0011825500318373846
0 G000701865 G000701865 0.0011825500318373846
0 G006228185 G006228185 0.0011825500318373846
0 G900660635 G900660635 0.0011825500318373846
0 G000085865 G000085865 0.0011825500318373846
0 G000027325 G000027325 0.0011825500318373846
0 G000687775 G000687775 0.0011825500318373846
0 G003855455 G003855455 0.0011825500318373846
