G002325765	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__UBA1459	g__UBA1459	s__UBA1459 sp002325765
G001730065	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__AB1-6	g__AB1-6	s__AB1-6 sp001730065
G002682985	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A	f__Enterobacteriaceae_A	g__Tremblaya	s__Tremblaya phenacola
G000508245	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A ovis
G000277795	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A wenyonii
G000319365	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A haemominutum
G000281235	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A haemolamae
G000477415	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A parvum
G000179035	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_A	s__Eperythrozoon_A suis
G002135175	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__MT37	g__Spiroplasma_C	s__Spiroplasma_C holothuricola
G000238995	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_B	s__Eperythrozoon_B haemocanis
G000200735	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_B	s__Eperythrozoon_B haemofelis
G001645765	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_B	s__Eperythrozoon_B haemobos
G902712995	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Eperythrozoon_B	s__Eperythrozoon_B haemohominis
G000008205	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma hyopneumoniae
G000815065	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma flocculare
G900660545	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A cynos
G902596985	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CACIJG01	s__CACIJG01 sp902596985
G001951355	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma ovipneumoniae
G000218525	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma ovipneumoniae_A
G000941075	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma dispar
G000183385	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis bovis
G005061465	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis bovis_A
G000266865	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis agalactiae_A
G000063605	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis agalactiae
G003253435	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma auris
