Gene Species Taxon Signature
0 G017450275 G017450275 0.008145602942070253
0 G017454105 G017454105 0.008145602942070253
0 G011390435 G011390435 0.0026791080969504723
0 G014804915 G014804915 0.008145602942070253
0 G017454005 G017454005 0.008145602942070253
0 G014804865 G014804865 0.008145602942070253
0 G017455745 G017455745 0.006739326441948108
0 G017528345 G017528345 0.006739326441948108
0 G011389555 G011389555 0.0026791080969504723
0 G002159665 G002159665 0.0036354174320213156
0 G017613715 G017613715 0.0036354174320213156
0 G013374015 G013374015 0.0036354174320213156
0 G902783285 G902783285 0.0026791080969504723
0 G910587035 G910587035 0.0026791080969504723
0 G019113165 G019113165 0.0026791080969504723
0 G000350545 G000350545 0.0026791080969504723
0 G018399285 G018399285 0.0026791080969504723
0 G000421285 G000421285 0.0026791080969504723
0 G009773975 G009773975 0.0026791080969504723
0 G018702715 G018702715 0.0015312035764254988
0 G011389835 G011389835 0.0015312035764254988
0 G900319575 G900319575 0.0026791080969504723
0 G002369295 G002369295 0.0026791080969504723
0 G002355955 G002355955 0.0026791080969504723
0 G910577155 G910577155 0.0026791080969504723
0 G910578585 G910578585 0.0026791080969504723
0 G017522745 G017522745 0.0026791080969504723
0 G017940105 G017940105 0.0026791080969504723
0 G016284885 G016284885 0.0026791080969504723
0 G000055945 G000055945 0.0026791080969504723
0 G900546145 G900546145 0.0026791080969504723
0 G017454855 G017454855 0.0026791080969504723
0 G905235595 G905235595 0.0021597762229068015
0 G900555975 G900555975 0.0021597762229068015
0 G900770205 G900770205 0.0021597762229068015
0 G003512875 G003512875 0.0021597762229068015
0 G009783115 G009783115 0.0021597762229068015
0 G009782775 G009782775 0.0021597762229068015
0 G017613295 G017613295 0.0021597762229068015
0 G017411945 G017411945 0.0021597762229068015
0 G905192935 G905192935 0.0021597762229068015
0 G905187505 G905187505 0.0021597762229068015
0 G900155525 G900155525 0.0021597762229068015
0 G003860215 G003860215 0.0021597762229068015
0 G900553065 G900553065 0.0021597762229068015
0 G017408905 G017408905 0.0021597762229068015
0 G017454325 G017454325 0.0021597762229068015
0 G902702915 G902702915 0.0021597762229068015
0 G003251995 G003251995 0.0013614925347985598
0 G002237645 G002237645 0.0013614925347985598
0 G014202345 G014202345 0.0013404827744520503
0 G910579055 G910579055 0.0013404827744520503
0 G011390235 G011390235 0.0013614925347985598
0 G018645325 G018645325 0.0013614925347985598
0 G011390695 G011390695 0.0013614925347985598
0 G011390085 G011390085 0.0013614925347985598
0 G012031875 G012031875 0.0013614925347985598
0 G905215675 G905215675 0.0013404827744520503
0 G905214305 G905214305 0.0013404827744520503
0 G000420465 G000420465 0.0013404827744520503
0 G000022125 G000022125 0.0013404827744520503
0 G009929215 G009929215 0.0013404827744520503
0 G003150275 G003150275 0.0013404827744520503
0 G019118345 G019118345 0.0013404827744520503
0 G004801255 G004801255 0.0013404827744520503
0 G009712225 G009712225 0.0013404827744520503
0 G019118745 G019118745 0.0013404827744520503
0 G019119045 G019119045 0.0013404827744520503
0 G019114565 G019114565 0.0013404827744520503
0 G014804905 G014804905 0.0013404827744520503
0 G014804965 G014804965 0.0013404827744520503
0 G011039135 G011039135 0.0013404827744520503
0 G014803725 G014803725 0.0013404827744520503
0 G017396005 G017396005 0.0013404827744520503
0 G017415765 G017415765 0.0013404827744520503
0 G017613475 G017613475 0.0011024619373966715
0 G004309735 G004309735 0.0011024619373966715
0 G900547595 G900547595 0.00015468596744195646
