Gene Species Taxon Signature
0 G001462225 G001462225 0.003076308939117847
0 G016927235 G016927235 0.008035117496828547
0 G001462255 G001462255 0.008035117496828547
0 G009786575 G009786575 0.008035117496828547
0 G009786415 G009786415 0.008035117496828547
0 G016929415 G016929415 0.008035117496828547
0 G016930275 G016930275 0.008035117496828547
0 G009779925 G009779925 0.008035117496828547
0 G003164335 G003164335 0.008035117496828547
0 G009787445 G009787445 0.008035117496828547
0 G016929595 G016929595 0.008035117496828547
0 G009784115 G009784115 0.008035117496828547
0 G016932075 G016932075 0.008035117496828547
0 G016926315 G016926315 0.004975106254936518
0 G007115975 G007115975 0.004975106254936518
0 G001045525 G001045525 0.004975106254936518
0 G017965445 G017965445 0.001199217258583067
0 G012513915 G012513915 0.004975106254936518
0 G012515615 G012515615 0.004975106254936518
0 G903888815 G903888815 0.004975106254936518
0 G012728995 G012728995 0.004975106254936518
0 G012519985 G012519985 0.004975106254936518
0 G000474745 G000474745 0.004975106254936518
