Gene Species Taxon Signature
0 G002402575 G002402575 0.022153116891138202
0 G009777025 G009777025 0.009330109765375995
0 G012515255 G012515255 0.009330109765375995
0 G012520725 G012520725 0.008360062920325314
0 G009776595 G009776595 0.009330109765375995
0 G001512785 G001512785 0.008360062920325314
0 G003558625 G003558625 0.008360062920325314
0 G002398825 G002398825 0.008360062920325314
0 G012522955 G012522955 0.008360062920325314
0 G016841245 G016841245 0.005193597240173448
0 G016841425 G016841425 0.005193597240173448
0 G900101835 G900101835 0.009330109765375995
0 G900553245 G900553245 0.009330109765375995
0 G900759105 G900759105 0.009330109765375995
0 G900552455 G900552455 0.009330109765375995
0 G012515055 G012515055 0.005193597240173448
0 G009773805 G009773805 0.009330109765375995
0 G009782975 G009782975 0.009330109765375995
0 G017440145 G017440145 0.009330109765375995
0 G018715045 G018715045 0.009330109765375995
0 G017531315 G017531315 0.009330109765375995
0 G012729835 G012729835 0.005193597240173448
0 G016841875 G016841875 0.005193597240173448
0 G012522705 G012522705 0.005193597240173448
0 G017397935 G017397935 0.009330109765375995
0 G009778255 G009778255 0.009330109765375995
0 G012518685 G012518685 0.005193597240173448
0 G002305535 G002305535 0.005193597240173448
0 G002410325 G002410325 0.005193597240173448
0 G009782505 G009782505 0.009330109765375995
0 G012718855 G012718855 0.005193597240173448
0 G003444615 G003444615 0.005193597240173448
0 G900129805 G900129805 0.0010348236906058952
0 G012841935 G012841935 0.009330109765375995
0 G017439615 G017439615 0.009330109765375995
0 G002419055 G002419055 0.009330109765375995
0 G902766525 G902766525 0.009330109765375995
0 G002382665 G002382665 0.009330109765375995
0 G017398165 G017398165 0.009330109765375995
0 G009783315 G009783315 0.009330109765375995
0 G001584725 G001584725 0.009330109765375995
0 G900760825 G900760825 0.009330109765375995
0 G009778595 G009778595 0.009330109765375995
0 G009782825 G009782825 0.009330109765375995
0 G902796855 G902796855 0.009330109765375995
0 G013336365 G013336365 0.009330109765375995
0 G002482535 G002482535 0.0032576596789768795
0 G018434325 G018434325 0.0030705515853631034
