Gene Species Taxon Signature
0 G009885395 G009885395 0.014560304989222249
0 G005777805 G005777805 0.014560304989222249
0 G012960245 G012960245 0.05200643488522839
0 G002311335 G002311335 0.05200643488522839
0 G014382245 G014382245 0.05200643488522839
0 G016218925 G016218925 0.02061100166759841
0 G004525875 G004525875 0.02061100166759841
0 G903893315 G903893315 0.02061100166759841
0 G002898795 G002898795 0.02061100166759841
0 G011054845 G011054845 0.02061100166759841
0 G009692615 G009692615 0.019330835471774988
0 G011329495 G011329495 0.006754800538314889
0 G003447545 G003447545 0.014560304989222249
