Gene Species Taxon Signature
0 G902812395 G902812395 0.023362117045875087
0 G003135035 G003135035 0.015462851411437438
0 G005889135 G005889135 0.006409838121769537
0 G003133485 G003133485 0.015462851411437438
0 G003164475 G003164475 0.015462851411437438
0 G003244185 G003244185 0.006409838121769537
0 G016464825 G016464825 0.006409838121769537
0 G005880345 G005880345 0.006409838121769537
0 G005879675 G005879675 0.006223416985535158
0 G005889495 G005889495 0.006223416985535158
0 G005880915 G005880915 0.0012685449017843242
0 G005880175 G005880175 0.0012685449017843242
0 G005887735 G005887735 0.0012685449017843242
0 G003132805 G003132805 0.007145414475879132
0 G005882115 G005882115 0.0012685449017843242
0 G005880795 G005880795 0.0012685449017843242
0 G003136295 G003136295 0.007145414475879132
0 G019236085 G019236085 0.007145414475879132
0 G003132525 G003132525 0.007145414475879132
0 G003244045 G003244045 0.007145414475879132
0 G003153125 G003153125 0.007145414475879132
0 G014874355 G014874355 0.007145414475879132
0 G003135895 G003135895 0.007145414475879132
0 G003131685 G003131685 0.007145414475879132
0 G003162415 G003162415 0.007145414475879132
0 G003153505 G003153505 0.007145414475879132
0 G019234035 G019234035 0.007145414475879132
0 G003132265 G003132265 0.007145414475879132
