Gene Species Taxon Signature
0 G017448375 G017448375 0.005876940351387914
0 G001508835 G001508835 0.0700488642708968
0 G001443005 G001443005 0.0700488642708968
0 G017448795 G017448795 0.005876940351387914
0 G011375965 G011375965 0.015061984278706118
0 G016288355 G016288355 0.015061984278706118
0 G012728235 G012728235 0.015061984278706118
0 G017537925 G017537925 0.015061984278706118
0 G012728165 G012728165 0.011376322033969068
0 G000712295 G000712295 0.011376322033969068
0 G018065065 G018065065 0.011376322033969068
0 G002306075 G002306075 0.00206399646239645
0 G017446055 G017446055 0.005876940351387914
0 G017540085 G017540085 0.005876940351387914
0 G905233215 G905233215 0.004064074443856887
0 G017455085 G017455085 0.004064074443856887
0 G017450125 G017450125 0.004064074443856887
0 G017427625 G017427625 0.004064074443856887
0 G017451025 G017451025 0.004064074443856887
0 G017448685 G017448685 0.004064074443856887
0 G017458545 G017458545 0.004064074443856887
0 G017445405 G017445405 0.004064074443856887
0 G017470485 G017470485 0.004064074443856887
