Gene Species Taxon Signature
0 G015231815 G015231815 0.028080686674579525
0 G016200345 G016200345 0.028080686674579525
0 G018647025 G018647025 0.012072350028722515
0 G016194375 G016194375 0.028080686674579525
0 G015231995 G015231995 0.028080686674579525
0 G002500605 G002500605 0.028080686674579525
0 G015229165 G015229165 0.028080686674579525
0 G016208975 G016208975 0.028080686674579525
0 G011052055 G011052055 0.028080686674579525
0 G016217735 G016217735 0.028080686674579525
0 G016212275 G016212275 0.028080686674579525
0 G016207925 G016207925 0.028080686674579525
0 G016235255 G016235255 0.028080686674579525
