Gene Species Taxon Signature
0 G001577135 G001577135 0.06991503301466245
0 G012839325 G012839325 0.01606596483000099
0 G002427325 G002427325 0.014074467019240536
0 G002376725 G002376725 0.0028910226651899973
0 G018334695 G018334695 0.06991503301466245
0 G014382495 G014382495 0.06991503301466245
0 G000404785 G000404785 0.06991503301466245
0 G002049945 G002049945 0.06991503301466245
0 G014384665 G014384665 0.06991503301466245
0 G011043895 G011043895 0.06991503301466245
0 G016932035 G016932035 0.06991503301466245
0 G014382685 G014382685 0.06991503301466245
0 G003647765 G003647765 0.06991503301466245
0 G018400535 G018400535 0.017767195685522243
