Gene Species Taxon Signature
0 G002313635 G002313635 0.18599509926675845
0 G902505095 G902505095 0.03238918995351489
0 G001517935 G001517935 0.03238918995351489
0 G001517915 G001517915 0.03238918995351489
0 G000973085 G000973085 0.03238918995351489
0 G014217355 G014217355 0.006290340439818449
0 G001612575 G001612575 0.006290340439818449
0 G001559775 G001559775 0.006290340439818449
0 G000024565 G000024565 0.006290340439818449
0 G001891165 G001891165 0.006290340439818449
0 G009733925 G009733925 0.005629916302176238
0 G013394795 G013394795 0.005629916302176238
0 G000482505 G000482505 0.0016539143371383166
0 G001517835 G001517835 0.0016539143371383166
0 G016724785 G016724785 0.0033973424715906396
0 G002573625 G002573625 0.0033973424715906396
0 G001457555 G001457555 0.0033973424715906396
0 G000163935 G000163935 0.0033973424715906396
0 G007990525 G007990525 0.00043665342238627934
