Gene Species Taxon Signature
0 G003351145 G003351145 0.02786027494192839
0 G003574085 G003574085 0.02786027494192839
0 G000482765 G000482765 0.012129412901543828
0 G015478585 G015478585 0.012129412901543828
0 G000024425 G000024425 0.012129412901543828
0 G016199255 G016199255 0.012129412901543828
0 G000423425 G000423425 0.012129412901543828
0 G006335125 G006335125 0.005012101061810852
0 G014201875 G014201875 0.005012101061810852
0 G001949125 G001949125 0.005012101061810852
0 G009017495 G009017495 0.005012101061810852
0 G000701405 G000701405 0.005012101061810852
0 G000701425 G000701425 0.005012101061810852
0 G014201805 G014201805 0.0009946508019119393
0 G007122815 G007122815 0.012129412901543828
0 G003574035 G003574035 0.012129412901543828
0 G017497985 G017497985 0.012129412901543828
0 G000620065 G000620065 0.012129412901543828
0 G003574355 G003574355 0.012129412901543828
0 G011327565 G011327565 0.012129412901543828
0 G003567075 G003567075 0.005057030449045795
0 G007121175 G007121175 0.005057030449045795
0 G004307015 G004307015 0.004736116810198818
0 G000744885 G000744885 0.004736116810198818
0 G003336745 G003336745 0.004736116810198818
