Gene Species Taxon Signature
0 G019245995 G019245995 0.014673888589575503
0 G019240755 G019240755 0.014673888589575503
0 G019240525 G019240525 0.0058569087610039015
0 G017444165 G017444165 0.019956480281011473
0 G900313515 G900313515 0.019956480281011473
0 G017458675 G017458675 0.019956480281011473
0 G017444045 G017444045 0.019956480281011473
0 G900772775 G900772775 0.019956480281011473
0 G002407045 G002407045 0.019956480281011473
0 G004554425 G004554425 0.019956480281011473
0 G017307785 G017307785 0.017846535575353185
0 G902790465 G902790465 0.017846535575353185
0 G018780265 G018780265 0.017846535575353185
0 G902791745 G902791745 0.017846535575353185
0 G018266105 G018266105 0.017846535575353185
0 G011343225 G011343225 0.007079265293072403
