Gene Species Taxon Signature
0 G009784555 G009784555 0.005615572348159354
0 G017453365 G017453365 0.004725701257006618
0 G017935065 G017935065 0.0035805109033731444
0 G009784375 G009784375 0.0035805109033731444
0 G009780375 G009780375 0.0035805109033731444
0 G018384735 G018384735 0.001603146080167201
0 G017619495 G017619495 0.001603146080167201
0 G009787915 G009787915 0.001603146080167201
0 G017405845 G017405845 0.001603146080167201
0 G017467165 G017467165 0.0023159337545964206
0 G017467105 G017467105 0.0023159337545964206
0 G017646745 G017646745 0.0023159337545964206
0 G017462445 G017462445 0.0023159337545964206
0 G017463765 G017463765 0.0023159337545964206
0 G017456895 G017456895 0.0023159337545964206
0 G017508665 G017508665 0.0016699241258185688
0 G017501245 G017501245 0.0016699241258185688
0 G009784665 G009784665 0.001603146080167201
0 G017537405 G017537405 0.001603146080167201
0 G017453245 G017453245 0.001603146080167201
0 G015063525 G015063525 0.001603146080167201
0 G017936125 G017936125 0.001603146080167201
0 G015063445 G015063445 0.001603146080167201
0 G017508195 G017508195 0.001603146080167201
0 G017631325 G017631325 0.001603146080167201
0 G017481225 G017481225 0.001603146080167201
0 G017522795 G017522795 0.001603146080167201
0 G017533565 G017533565 0.001603146080167201
0 G017501175 G017501175 0.001603146080167201
0 G017410065 G017410065 0.001603146080167201
0 G017504605 G017504605 0.001603146080167201
0 G017621415 G017621415 0.001603146080167201
0 G017462605 G017462605 0.001603146080167201
0 G017472305 G017472305 0.001603146080167201
0 G017503105 G017503105 0.001603146080167201
0 G016283155 G016283155 0.001603146080167201
0 G017503445 G017503445 0.001603146080167201
0 G009780065 G009780065 0.001603146080167201
0 G017510725 G017510725 0.001603146080167201
0 G017462485 G017462485 0.001603146080167201
0 G017630995 G017630995 0.001603146080167201
0 G017463125 G017463125 0.001603146080167201
0 G902796505 G902796505 0.001603146080167201
0 G017411605 G017411605 0.001603146080167201
0 G016292155 G016292155 0.001603146080167201
0 G009784765 G009784765 0.001603146080167201
0 G015063385 G015063385 0.001603146080167201
0 G016302405 G016302405 0.001603146080167201
0 G017959485 G017959485 0.001603146080167201
0 G017403155 G017403155 0.001603146080167201
0 G900752285 G900752285 0.001603146080167201
0 G019115045 G019115045 0.001603146080167201
0 G900547405 G900547405 0.001603146080167201
0 G017454675 G017454675 0.001603146080167201
0 G017546745 G017546745 0.001603146080167201
0 G017622995 G017622995 0.001603146080167201
0 G900549705 G900549705 0.001603146080167201
0 G902803255 G902803255 0.001603146080167201
0 G015064555 G015064555 0.001603146080167201
0 G017508465 G017508465 0.0006519401304856089
0 G900320285 G900320285 0.001603146080167201
0 G017432075 G017432075 0.001603146080167201
0 G902801255 G902801255 0.001603146080167201
0 G017473795 G017473795 0.001603146080167201
0 G017531805 G017531805 0.001603146080167201
0 G902778585 G902778585 0.001603146080167201
0 G902780815 G902780815 0.001603146080167201
0 G902795265 G902795265 0.001603146080167201
0 G012840975 G012840975 0.001603146080167201
0 G017466725 G017466725 0.001603146080167201
0 G902790965 G902790965 0.001603146080167201
0 G902774195 G902774195 0.001603146080167201
0 G902760855 G902760855 0.001603146080167201
0 G015058065 G015058065 0.001603146080167201
0 G009780625 G009780625 0.001603146080167201
0 G902773835 G902773835 0.001603146080167201
0 G902790885 G902790885 0.001603146080167201
0 G902779185 G902779185 0.001603146080167201
0 G017618475 G017618475 0.001603146080167201
0 G017623705 G017623705 0.001603146080167201
0 G017505405 G017505405 0.001603146080167201
0 G017515425 G017515425 0.001603146080167201
0 G017404265 G017404265 0.001603146080167201
0 G902776285 G902776285 0.001603146080167201
0 G017408305 G017408305 0.001603146080167201
0 G017431685 G017431685 0.001603146080167201
0 G015069325 G015069325 0.001603146080167201
0 G902775345 G902775345 0.001603146080167201
0 G902798745 G902798745 0.001603146080167201
0 G902788245 G902788245 0.001603146080167201
0 G902793875 G902793875 0.001603146080167201
0 G017625505 G017625505 0.001603146080167201
0 G900318105 G900318105 0.001603146080167201
0 G017621525 G017621525 0.001603146080167201
0 G904397185 G904397185 0.001603146080167201
0 G017434025 G017434025 0.001603146080167201
0 G015055745 G015055745 0.001603146080167201
0 G902786855 G902786855 0.001603146080167201
0 G015058265 G015058265 0.001603146080167201
0 G015058275 G015058275 0.001603146080167201
0 G002406115 G002406115 0.001603146080167201
0 G017403955 G017403955 0.001603146080167201
0 G012735145 G012735145 0.001603146080167201
0 G900768545 G900768545 0.001603146080167201
0 G017541375 G017541375 0.001603146080167201
0 G910586385 G910586385 0.001603146080167201
0 G017936585 G017936585 0.001603146080167201
0 G900317675 G900317675 0.001603146080167201
0 G017512365 G017512365 0.001603146080167201
0 G910584295 G910584295 0.001603146080167201
0 G902786355 G902786355 0.001603146080167201
0 G017431175 G017431175 0.001603146080167201
0 G002424095 G002424095 0.001603146080167201
0 G017434685 G017434685 0.001603146080167201
0 G017469325 G017469325 0.001603146080167201
0 G015069415 G015069415 0.001603146080167201
0 G017512145 G017512145 0.001603146080167201
0 G902765035 G902765035 0.001603146080167201
0 G017537515 G017537515 0.001603146080167201
0 G017467895 G017467895 0.001603146080167201
0 G017433945 G017433945 0.001603146080167201
0 G900315485 G900315485 0.001603146080167201
0 G017938505 G017938505 0.001603146080167201
0 G905207515 G905207515 0.001603146080167201
0 G900753315 G900753315 0.001603146080167201
0 G019120295 G019120295 0.001603146080167201
0 G900557645 G900557645 0.001603146080167201
0 G018715225 G018715225 0.001603146080167201
0 G017452445 G017452445 0.001603146080167201
0 G015069385 G015069385 0.001603146080167201
0 G902774265 G902774265 0.001603146080167201
0 G905195085 G905195085 0.001603146080167201
0 G015069395 G015069395 0.001603146080167201
0 G900551855 G900551855 0.001603146080167201
0 G018064755 G018064755 0.001603146080167201
0 G017452585 G017452585 0.001603146080167201
0 G900555365 G900555365 0.001603146080167201
0 G012799455 G012799455 0.001603146080167201
0 G017505945 G017505945 0.001603146080167201
0 G902796285 G902796285 0.001603146080167201
0 G012510935 G012510935 0.001603146080167201
0 G900768425 G900768425 0.001603146080167201
0 G900767835 G900767835 0.001603146080167201
0 G017454425 G017454425 0.001603146080167201
0 G017467265 G017467265 0.001603146080167201
0 G017626135 G017626135 0.001603146080167201
0 G003522085 G003522085 0.001603146080167201
0 G015055655 G015055655 0.001603146080167201
0 G015069335 G015069335 0.001603146080167201
0 G002070965 G002070965 0.001603146080167201
0 G018064665 G018064665 0.001603146080167201
0 G002405615 G002405615 0.001603146080167201
0 G012800525 G012800525 0.0006466818823315855
0 G015069525 G015069525 0.0006466818823315855
0 G910578545 G910578545 0.0006466818823315855
0 G017504735 G017504735 0.0006466818823315855
0 G910585055 G910585055 0.0006466818823315855
0 G017452305 G017452305 0.0006466818823315855
0 G017626305 G017626305 0.0006466818823315855
0 G012841525 G012841525 0.0006466818823315855
0 G018715545 G018715545 0.0006466818823315855
0 G003343905 G003343905 0.0006519401304856089
0 G017462505 G017462505 0.0006466818823315855
0 G017650795 G017650795 0.0006466818823315855
0 G017455905 G017455905 0.0006519401304856089
0 G017471825 G017471825 0.0006519401304856089
0 G900549495 G900549495 0.0006519401304856089
0 G904501765 G904501765 0.0006519401304856089
0 G900540635 G900540635 0.0006519401304856089
0 G018918045 G018918045 0.0006519401304856089
0 G004552305 G004552305 0.0006519401304856089
0 G019116705 G019116705 0.0006519401304856089
0 G900556935 G900556935 0.0006519401304856089
0 G015069605 G015069605 0.0006466818823315855
0 G017468085 G017468085 0.0006466818823315855
0 G017503525 G017503525 0.0006466818823315855
0 G900554145 G900554145 0.0006519401304856089
0 G900556255 G900556255 0.0006519401304856089
0 G900772715 G900772715 0.0006519401304856089
0 G017511005 G017511005 0.0006519401304856089
0 G017539425 G017539425 0.0006519401304856089
0 G900167555 G900167555 0.0006519401304856089
0 G017938425 G017938425 0.0006519401304856089
0 G902797125 G902797125 0.0006519401304856089
0 G015069285 G015069285 0.0002503403076611745
0 G017536305 G017536305 0.0002503403076611745
0 G015069295 G015069295 0.0002503403076611745
0 G017408045 G017408045 0.0002503403076611745
0 G016290255 G016290255 0.0002503403076611745
0 G015055615 G015055615 0.0002503403076611745
0 G018713795 G018713795 0.0002503403076611745
0 G900321185 G900321185 0.0002503403076611745
0 G902788085 G902788085 0.0002503403076611745
0 G017473605 G017473605 0.0002503403076611745
0 G017507585 G017507585 0.0002503403076611745
0 G910588315 G910588315 0.0002503403076611745
0 G015069495 G015069495 0.0002503403076611745
0 G018784445 G018784445 0.0006026383217728518
0 G900553805 G900553805 0.0006026383217728518
0 G002315715 G002315715 0.0006026383217728518
0 G900540595 G900540595 0.0006026383217728518
0 G902783905 G902783905 0.0006026383217728518
0 G017504785 G017504785 0.0006026383217728518
0 G017648085 G017648085 0.0006026383217728518
0 G900770015 G900770015 0.0006026383217728518
0 G017456045 G017456045 0.0006026383217728518
0 G002362145 G002362145 0.0006026383217728518
0 G004558975 G004558975 0.00036802274326088705
