Gene Species Taxon Signature
0 G002450755 G002450755 0.014653844841128824
0 G002683315 G002683315 0.014653844841128824
0 G002390675 G002390675 0.014653844841128824
0 G002709835 G002709835 0.014653844841128824
0 G009692585 G009692585 0.014653844841128824
0 G005776735 G005776735 0.014653844841128824
0 G005776945 G005776945 0.014653844841128824
0 G903844155 G903844155 0.014653844841128824
0 G009692605 G009692605 0.014653844841128824
0 G903885375 G903885375 0.014653844841128824
0 G903875225 G903875225 0.004374530274731753
0 G903921785 G903921785 0.004374530274731753
0 G903897935 G903897935 0.0037665950330730822
0 G903861005 G903861005 0.0031097713665799533
