Gene Species Taxon Signature
0 G902783485 G902783485 0.026171668826942277
0 G011329045 G011329045 0.016248091390686566
0 G011369555 G011369555 0.007167149186781761
0 G900321055 G900321055 0.007167149186781761
0 G905236115 G905236115 0.007167149186781761
0 G017528425 G017528425 0.007167149186781761
0 G017651625 G017651625 0.007167149186781761
0 G905234925 G905234925 0.007167149186781761
0 G017961585 G017961585 0.0011120106036933584
0 G017525905 G017525905 0.007167149186781761
0 G017413305 G017413305 0.007167149186781761
0 G902767385 G902767385 0.0011120106036933584
0 G902765225 G902765225 0.0011120106036933584
0 G900319885 G900319885 0.0011120106036933584
0 G002841695 G002841695 0.007167149186781761
0 G902761395 G902761395 0.007167149186781761
0 G900316875 G900316875 0.007167149186781761
0 G017529005 G017529005 0.007167149186781761
0 G002448285 G002448285 0.007167149186781761
0 G016715645 G016715645 0.005900847158196984
0 G001027545 G001027545 0.005900847158196984
0 G001800495 G001800495 0.005900847158196984
0 G002069855 G002069855 0.005900847158196984
0 G002355835 G002355835 0.005900847158196984
0 G009776745 G009776745 0.0030992672752603962
0 G009785775 G009785775 0.0030992672752603962
0 G009778965 G009778965 0.0030992672752603962
0 G016714745 G016714745 0.0030992672752603962
0 G016788905 G016788905 0.0030992672752603962
0 G009782015 G009782015 0.0030992672752603962
0 G009778325 G009778325 0.0030992672752603962
