Gene Species Taxon Signature
0 G014323935 G014323935 0.04579771509027738
0 G002238945 G002238945 0.01646640594029919
0 G002338505 G002338505 0.01646640594029919
0 G900299205 G900299205 0.013424919733211955
0 G015163875 G015163875 0.013424919733211955
0 G015163855 G015163855 0.013424919733211955
0 G002343185 G002343185 0.013424919733211955
0 G000443995 G000443995 0.013424919733211955
0 G900299055 G900299055 0.01157738115764165
0 G002686115 G002686115 0.013424919733211955
0 G002903145 G002903145 0.013424919733211955
0 G003612895 G003612895 0.013424919733211955
0 G002786715 G002786715 0.004349720109456942
0 G001874305 G001874305 0.004349720109456942
0 G018675575 G018675575 0.0023257548335008592
0 G014376445 G014376445 0.0016698750538842071
0 G017853915 G017853915 0.01157738115764165
0 G903920005 G903920005 0.01157738115764165
0 G016182335 G016182335 0.01157738115764165
0 G903904735 G903904735 0.01157738115764165
0 G016198185 G016198185 0.01157738115764165
0 G001798105 G001798105 0.01157738115764165
0 G017853605 G017853605 0.01157738115764165
0 G012797725 G012797725 0.01157738115764165
0 G900299035 G900299035 0.01157738115764165
0 G002787775 G002787775 0.000734347509494489
0 G016186995 G016186995 0.0016698750538842071
0 G012514925 G012514925 0.0016698750538842071
0 G016205125 G016205125 0.0016698750538842071
0 G017302835 G017302835 0.0016698750538842071
0 G902766925 G902766925 0.0016698750538842071
0 G002711925 G002711925 0.0016698750538842071
