Gene Species Taxon Signature
0 G003339615 G003339615 0.08811728338681289
0 G000204135 G000204135 0.010272132544322769
0 G010029555 G010029555 0.026184402252231058
0 G000007205 G000007205 0.002322912161734524
0 G010031885 G010031885 0.026184402252231058
0 G016866495 G016866495 0.026184402252231058
0 G016866475 G016866475 0.026184402252231058
0 G001794905 G001794905 0.026184402252231058
0 G902609415 G902609415 0.026184402252231058
0 G002401865 G002401865 0.014679071357818152
0 G001796155 G001796155 0.014679071357818152
0 G011065045 G011065045 0.0063868262449266805
0 G011064905 G011064905 0.0063868262449266805
0 G011065175 G011065175 0.0063868262449266805
0 G018240105 G018240105 0.0063868262449266805
0 G001303765 G001303765 0.0063868262449266805
0 G011064725 G011064725 0.0063868262449266805
0 G011064875 G011064875 0.0063868262449266805
0 G001796285 G001796285 0.0063868262449266805
0 G903864395 G903864395 0.0063868262449266805
0 G011064865 G011064865 0.0063868262449266805
0 G003170575 G003170575 0.0063868262449266805
0 G016866545 G016866545 0.0063868262449266805
0 G903867585 G903867585 0.0035697945193900096
0 G011064745 G011064745 0.0035697945193900096
0 G016931275 G016931275 0.0009479207770813953
