Gene Species Taxon Signature
0 G016929715 G016929715 0.021294514096766685
0 G011049385 G011049385 0.018880946263337008
0 G016934535 G016934535 0.01659015938122169
0 G016926475 G016926475 0.01659015938122169
0 G002327905 G002327905 0.01659015938122169
0 G015494805 G015494805 0.005811869235808712
0 G015490465 G015490465 0.005811869235808712
0 G013154295 G013154295 0.005811869235808712
0 G002441125 G002441125 0.007250024119730279
0 G016935775 G016935775 0.007250024119730279
0 G001508335 G001508335 0.007250024119730279
0 G004377355 G004377355 0.007250024119730279
0 G001412365 G001412365 0.0010531752158289423
0 G002316275 G002316275 0.005811869235808712
0 G015492295 G015492295 0.005811869235808712
0 G000980735 G000980735 0.005811869235808712
0 G013153965 G013153965 0.005811869235808712
0 G016935295 G016935295 0.0018445505512244527
