Gene Species Taxon Signature
0 G013152955 G013152955 0.2934312519777037
0 G015490005 G015490005 0.2934312519777037
0 G015486705 G015486705 0.2934312519777037
0 G015486965 G015486965 0.2934312519777037
0 G015486955 G015486955 0.2934312519777037
0 G002119425 G002119425 0.2934312519777037
0 G000194135 G000194135 0.2934312519777037
0 G000420385 G000420385 0.2934312519777037
0 G000517565 G000517565 0.2934312519777037
0 G000187625 G000187625 0.011826005462438715
0 G902196135 G902196135 0.011826005462438715
0 G000526195 G000526195 0.2934312519777037
0 G000744435 G000744435 0.2934312519777037
0 G015493995 G015493995 0.2934312519777037
0 G900753405 G900753405 0.009327662582357076
0 G013153825 G013153825 0.009327662582357076
0 G012728225 G012728225 0.00669737413745988
0 G006864425 G006864425 0.005355992762026496
0 G013416015 G013416015 0.005355992762026496
0 G002317305 G002317305 0.003760816768126919
0 G900197685 G900197685 0.011826005462438715
0 G003660395 G003660395 0.011826005462438715
0 G001282945 G001282945 0.011826005462438715
0 G003660285 G003660285 0.011826005462438715
0 G902196125 G902196125 0.011826005462438715
0 G001283065 G001283065 0.011826005462438715
0 G017979425 G017979425 0.011826005462438715
0 G900197855 G900197855 0.011826005462438715
0 G000200595 G000200595 0.011826005462438715
0 G900766555 G900766555 0.011826005462438715
0 G000263275 G000263275 0.011826005462438715
0 G003660265 G003660265 0.011826005462438715
0 G900772495 G900772495 0.003760816768126919
0 G000259255 G000259255 0.0029673308652193877
0 G001653475 G001653475 0.0029673308652193877
0 G013201645 G013201645 0.003760816768126919
0 G900539255 G900539255 0.003760816768126919
0 G001687475 G001687475 0.003760816768126919
0 G013177655 G013177655 0.003760816768126919
0 G013372225 G013372225 0.0032631325828495136
0 G000413435 G000413435 0.0032631325828495136
0 G902727915 G902727915 0.0032631325828495136
0 G009362725 G009362725 0.0032631325828495136
0 G012519705 G012519705 0.0032631325828495136
0 G018374135 G018374135 0.000625348380199042
0 G000277405 G000277405 0.0029673308652193877
0 G001653455 G001653455 0.0029673308652193877
0 G003636935 G003636935 0.0029673308652193877
0 G900198405 G900198405 0.0029673308652193877
0 G900478295 G900478295 0.0029673308652193877
0 G900461455 G900461455 0.0029673308652193877
0 G003637685 G003637685 0.0029673308652193877
0 G009689985 G009689985 0.0029673308652193877
0 G000762875 G000762875 0.0029673308652193877
0 G000448485 G000448485 0.0029673308652193877
0 G003637665 G003637665 0.0029673308652193877
0 G000476275 G000476275 0.0029673308652193877
0 G900120335 G900120335 0.0029673308652193877
