Gene Species Taxon Signature
0 G003023725 G003023725 0.013502304198334213
0 G003023745 G003023745 0.006385231827332069
0 G003551365 G003551365 0.006174598798136323
0 G001513185 G001513185 0.04362404162266668
0 G012512325 G012512325 0.04362404162266668
0 G012841065 G012841065 0.04362404162266668
0 G002391545 G002391545 0.04362404162266668
0 G012841375 G012841375 0.04362404162266668
0 G012837895 G012837895 0.04362404162266668
0 G018052455 G018052455 0.04362404162266668
0 G018052475 G018052475 0.04362404162266668
0 G002385465 G002385465 0.04362404162266668
0 G012842425 G012842425 0.04362404162266668
0 G012842105 G012842105 0.04362404162266668
0 G012842685 G012842685 0.04362404162266668
0 G012840345 G012840345 0.04362404162266668
