Gene Species Taxon Signature
0 G015206785 G015206785 0.011715360526504511
0 G900759415 G900759415 0.011715360526504511
0 G017554235 G017554235 0.001068195974962168
0 G900314595 G900314595 0.011715360526504511
0 G000194985 G000194985 0.011715360526504511
0 G000242435 G000242435 0.011715360526504511
0 G905234175 G905234175 0.001068195974962168
0 G002320515 G002320515 0.011715360526504511
0 G014764605 G014764605 0.000801357510164295
0 G017406175 G017406175 0.000801357510164295
0 G017518105 G017518105 0.000801357510164295
0 G017453765 G017453765 0.000801357510164295
0 G017614505 G017614505 0.000801357510164295
0 G905235685 G905235685 0.000801357510164295
0 G017534385 G017534385 0.000801357510164295
0 G900765565 G900765565 0.011715360526504511
0 G900538805 G900538805 0.011715360526504511
0 G002471975 G002471975 0.011715360526504511
0 G900547785 G900547785 0.011715360526504511
0 G001553355 G001553355 0.011715360526504511
0 G900543455 G900543455 0.011715360526504511
0 G900541485 G900541485 0.011715360526504511
0 G001717505 G001717505 0.011715360526504511
0 G000434475 G000434475 0.011715360526504511
0 G900541605 G900541605 0.011715360526504511
0 G905234505 G905234505 0.000801357510164295
0 G015206805 G015206805 0.000801357510164295
0 G905235425 G905235425 0.000801357510164295
0 G905234705 G905234705 0.000801357510164295
0 G017535925 G017535925 0.000801357510164295
0 G002297935 G002297935 0.011715360526504511
0 G000160055 G000160055 0.011715360526504511
0 G900545785 G900545785 0.011715360526504511
0 G900543165 G900543165 0.011715360526504511
0 G007164725 G007164725 0.011715360526504511
0 G002439665 G002439665 0.011715360526504511
0 G900557365 G900557365 0.009242647770932306
0 G900103425 G900103425 0.009242647770932306
0 G900554515 G900554515 0.0029658057300957627
0 G905213155 G905213155 0.0029658057300957627
0 G003512125 G003512125 0.0029658057300957627
0 G017405945 G017405945 0.0029658057300957627
0 G900112895 G900112895 0.0029658057300957627
0 G902801365 G902801365 0.0029658057300957627
0 G905235335 G905235335 0.0029658057300957627
0 G900315925 G900315925 0.0029658057300957627
0 G017443165 G017443165 0.0029658057300957627
0 G905233365 G905233365 0.0029658057300957627
0 G018065225 G018065225 0.0029658057300957627
0 G001553405 G001553405 0.0029658057300957627
0 G002342505 G002342505 0.0010862316992587648
0 G900314855 G900314855 0.0010862316992587648
0 G017554485 G017554485 0.0010862316992587648
