Gene Species Taxon Signature
0 G016432245 G016432245 0.2369132570244957
0 G002085155 G002085155 0.02769314992670908
0 G002683315 G002683315 0.015523754667307151
0 G009692585 G009692585 0.015523754667307151
0 G007120915 G007120915 0.003798474886399974
0 G003154095 G003154095 0.0030539725348433778
0 G005776735 G005776735 0.015523754667307151
0 G005800325 G005800325 0.002669034022500923
0 G009692485 G009692485 0.002669034022500923
0 G903844155 G903844155 0.015523754667307151
0 G009692605 G009692605 0.015523754667307151
0 G903885375 G903885375 0.015523754667307151
0 G005776945 G005776945 0.015523754667307151
0 G903921785 G903921785 0.003798474886399974
0 G903875225 G903875225 0.003798474886399974
0 G903897935 G903897935 0.003798474886399974
0 G903861005 G903861005 0.003798474886399974
0 G014191855 G014191855 0.003798474886399974
0 G903900265 G903900265 0.003798474886399974
0 G005778355 G005778355 0.003798474886399974
0 G016875435 G016875435 0.003798474886399974
0 G016938035 G016938035 0.003798474886399974
0 G016875315 G016875315 0.003798474886399974
0 G011376105 G011376105 0.003798474886399974
0 G002343455 G002343455 0.003798474886399974
0 G007693595 G007693595 0.003798474886399974
0 G002450755 G002450755 0.003798474886399974
0 G009936995 G009936995 0.003798474886399974
0 G013152105 G013152105 0.0037521062275909867
0 G004193285 G004193285 0.0013474268460689925
0 G005792545 G005792545 0.0013474268460689925
0 G016929495 G016929495 0.0013474268460689925
0 G903959175 G903959175 0.0037521062275909867
0 G903891165 G903891165 0.0037521062275909867
0 G002390675 G002390675 0.0037521062275909867
0 G002862545 G002862545 0.0037521062275909867
0 G002709835 G002709835 0.0037521062275909867
0 G002296975 G002296975 0.0037521062275909867
0 G016792625 G016792625 0.0037521062275909867
0 G002348535 G002348535 0.0037521062275909867
0 G005797785 G005797785 0.0008551528537509422
0 G014238595 G014238595 0.0008551528537509422
0 G013214025 G013214025 0.0008551528537509422
