Gene Species Taxon Signature
0 G003558195 G003558195 0.019308354246753676
0 G002292015 G002292015 0.005906661938207456
0 G002423965 G002423965 0.05675025031578823
0 G012727415 G012727415 0.05675025031578823
0 G002397155 G002397155 0.05675025031578823
0 G002427015 G002427015 0.05675025031578823
0 G002408465 G002408465 0.05675025031578823
0 G012523545 G012523545 0.05675025031578823
0 G003559415 G003559415 0.05675025031578823
0 G009711825 G009711825 0.05675025031578823
0 G014467015 G014467015 0.025262737693168058
0 G900111575 G900111575 0.025262737693168058
0 G900142275 G900142275 0.025262737693168058
0 G000020005 G000020005 0.025262737693168058
0 G002216005 G002216005 0.025262737693168058
0 G018725565 G018725565 0.025262737693168058
0 G018333395 G018333395 0.025262737693168058
0 G018335875 G018335875 0.001602402259008411
0 G003564055 G003564055 0.005906661938207456
0 G003567725 G003567725 0.005906661938207456
