Gene Species Taxon Signature
0 G016871815 G016871815 0.030082787680141474
0 G016183005 G016183005 0.025915555429934723
0 G010027825 G010027825 0.030082787680141474
0 G903825355 G903825355 0.030082787680141474
0 G018656485 G018656485 0.030082787680141474
0 G018061805 G018061805 0.025915555429934723
0 G007116155 G007116155 0.025915555429934723
0 G000996695 G000996695 0.025915555429934723
0 G903831405 G903831405 0.025915555429934723
0 G002401785 G002401785 0.004260062600976972
0 G016763165 G016763165 0.004260062600976972
0 G013289515 G013289515 0.004260062600976972
0 G003484685 G003484685 0.025915555429934723
0 G017992075 G017992075 0.025915555429934723
0 G016699125 G016699125 0.025915555429934723
