Gene Species Taxon Signature
0 G900696515 G900696515 0.0015299809109129243
0 G001458735 G001458735 0.0014850792430179155
0 G000299235 G000299235 0.1770522529463142
0 G000284315 G000284315 0.1770522529463142
0 G000755505 G000755505 0.1770522529463142
0 G011332985 G011332985 0.1770522529463142
0 G002387725 G002387725 0.1770522529463142
0 G015233265 G015233265 0.008564237094740189
0 G000423865 G000423865 0.002448421933765198
0 G015233015 G015233015 0.002448421933765198
0 G016784355 G016784355 0.002448421933765198
0 G015232165 G015232165 0.002448421933765198
0 G015233045 G015233045 0.002448421933765198
0 G019173545 G019173545 0.002448421933765198
0 G002339325 G002339325 0.002448421933765198
0 G000714715 G000714715 0.002448421933765198
0 G016788465 G016788465 0.0014850792430179155
0 G018242725 G018242725 0.0014850792430179155
0 G018242765 G018242765 0.0014850792430179155
0 G902500805 G902500805 0.0014850792430179155
0 G012032965 G012032965 0.0014850792430179155
0 G002420115 G002420115 0.0014850792430179155
0 G002254365 G002254365 0.0014850792430179155
0 G015233485 G015233485 0.002448421933765198
0 G013824615 G013824615 0.002448421933765198
0 G015233245 G015233245 0.002448421933765198
0 G015233685 G015233685 0.002448421933765198
0 G003153275 G003153275 0.002448421933765198
0 G011367585 G011367585 0.002448421933765198
0 G001541255 G001541255 0.002448421933765198
0 G001707915 G001707915 0.002448421933765198
0 G016215155 G016215155 0.002448421933765198
0 G015233895 G015233895 0.002448421933765198
0 G015233725 G015233725 0.002448421933765198
0 G018262395 G018262395 0.002448421933765198
0 G004321925 G004321925 0.0023321489303263837
0 G002011795 G002011795 0.002150858111940043
0 G015233615 G015233615 0.002079100510486178
0 G002753305 G002753305 0.002079100510486178
0 G002878055 G002878055 0.002079100510486178
0 G001514535 G001514535 0.002079100510486178
0 G013388435 G013388435 0.002079100510486178
0 G002451165 G002451165 0.002079100510486178
0 G002753395 G002753395 0.002079100510486178
