Gene Species Taxon Signature
0 G015489955 G015489955 0.012290229380934738
0 G002924625 G002924625 0.027714813687914796
0 G012744415 G012744415 0.012290229380934738
0 G015491995 G015491995 0.012290229380934738
0 G003265365 G003265365 0.027714813687914796
0 G002895525 G002895525 0.027714813687914796
0 G000018605 G000018605 0.027714813687914796
0 G002895565 G002895565 0.027714813687914796
0 G002895605 G002895605 0.027714813687914796
0 G002895485 G002895485 0.008262384799609593
0 G900102615 G900102615 0.007674763499110472
0 G000953715 G000953715 0.007674763499110472
0 G003444085 G003444085 0.007674763499110472
0 G003526765 G003526765 0.012290229380934738
0 G002432805 G002432805 0.012290229380934738
0 G015486095 G015486095 0.012290229380934738
0 G015486145 G015486145 0.012290229380934738
0 G003641555 G003641555 0.012290229380934738
0 G009936215 G009936215 0.012290229380934738
0 G002878315 G002878315 0.012290229380934738
0 G002071085 G002071085 0.012290229380934738
0 G011357985 G011357985 0.012290229380934738
0 G000745455 G000745455 0.012290229380934738
0 G003522805 G003522805 0.012290229380934738
0 G000016905 G000016905 0.012290229380934738
0 G001990485 G001990485 0.012290229380934738
