Gene Species Taxon Signature
0 G004172935 G004172935 0.023913750914493086
0 G002973605 G002973605 0.023913750914493086
0 G003170595 G003170595 0.023913750914493086
0 G903927345 G903927345 0.007469286635977706
0 G002409445 G002409445 0.010669758844533864
0 G012518355 G012518355 0.010669758844533864
0 G003542955 G003542955 0.010669758844533864
0 G012523355 G012523355 0.010669758844533864
0 G019239895 G019239895 0.010669758844533864
0 G016235455 G016235455 0.010669758844533864
0 G011380385 G011380385 0.007469286635977706
0 G013178155 G013178155 0.007469286635977706
0 G016788585 G016788585 0.004656679296614756
0 G016125185 G016125185 0.004656679296614756
0 G016183835 G016183835 0.007469286635977706
0 G002898575 G002898575 0.007469286635977706
0 G002411015 G002411015 0.007469286635977706
0 G011055095 G011055095 0.007469286635977706
0 G012522765 G012522765 0.007469286635977706
0 G014730065 G014730065 0.00026868345270594
0 G903927025 G903927025 0.004656679296614756
0 G903833215 G903833215 0.004656679296614756
0 G017303935 G017303935 0.004656679296614756
0 G016788425 G016788425 0.0038096819945446663
