Gene Species Taxon Signature
0 G001771505 G001771505 0.009605178843684734
0 G002433595 G002433595 0.017564386934444357
0 G016779165 G016779165 0.017564386934444357
0 G010027915 G010027915 0.017564386934444357
0 G005791325 G005791325 0.017564386934444357
0 G002296285 G002296285 0.017564386934444357
0 G002719695 G002719695 0.011875446101754457
0 G002716725 G002716725 0.011875446101754457
0 G002697535 G002697535 0.011875446101754457
0 G902558105 G902558105 0.006718424917858679
0 G003265885 G003265885 0.006718424917858679
