Gene Species Taxon Signature
0 G012840725 G012840725 0.013015628335703907
0 G012521315 G012521315 0.00969698540540053
0 G002391385 G002391385 0.013015628335703907
0 G900018335 G900018335 0.013015628335703907
0 G012521335 G012521335 0.013015628335703907
0 G012520355 G012520355 0.00969698540540053
0 G012799115 G012799115 0.0009197715591117766
0 G012512605 G012512605 0.00969698540540053
0 G012727425 G012727425 0.00969698540540053
0 G012837705 G012837705 0.00969698540540053
0 G013664685 G013664685 0.00969698540540053
0 G002427045 G002427045 0.00969698540540053
0 G012839115 G012839115 0.00969698540540053
0 G012735195 G012735195 0.00969698540540053
0 G002070415 G002070415 0.00969698540540053
0 G017994615 G017994615 0.00969698540540053
0 G012837715 G012837715 0.00969698540540053
0 G012727895 G012727895 0.00969698540540053
0 G012735135 G012735135 0.00969698540540053
0 G003511465 G003511465 0.00969698540540053
0 G012727535 G012727535 0.004887570779430892
0 G002409975 G002409975 0.001234612366563629
