Gene Species Taxon Signature
0 G003565945 G003565945 0.040376901661592815
0 G002344825 G002344825 0.03407305335171284
0 G016180605 G016180605 0.010609795761405758
0 G012514595 G012514595 0.005128332279405473
0 G019052695 G019052695 0.004300558397058719
0 G003140935 G003140935 0.004300558397058719
0 G903884815 G903884815 0.004300558397058719
0 G903861305 G903861305 0.003893700364626651
0 G014728785 G014728785 0.003893700364626651
0 G903860135 G903860135 0.003893700364626651
0 G903901225 G903901225 0.003893700364626651
0 G018826075 G018826075 0.002365436906456006
0 G903819565 G903819565 0.0033992518603222833
0 G903856085 G903856085 0.0033992518603222833
0 G903820505 G903820505 0.0033992518603222833
0 G009691445 G009691445 0.0033992518603222833
0 G002753465 G002753465 0.002365436906456006
0 G015232565 G015232565 0.002365436906456006
0 G001804025 G001804025 0.0033992518603222833
0 G002329545 G002329545 0.0033992518603222833
0 G016209275 G016209275 0.0033992518603222833
0 G001804345 G001804345 0.0033992518603222833
0 G002068945 G002068945 0.0033992518603222833
0 G018883425 G018883425 0.0033992518603222833
0 G001804225 G001804225 0.0033992518603222833
0 G016206675 G016206675 0.0033992518603222833
0 G016196545 G016196545 0.0033992518603222833
0 G001805695 G001805695 0.0017957009255896615
0 G016930235 G016930235 0.0017957009255896615
0 G016196415 G016196415 0.0017957009255896615
0 G001804315 G001804315 0.0017957009255896615
0 G005239935 G005239935 0.0017957009255896615
0 G016193195 G016193195 0.0017957009255896615
0 G002796105 G002796105 0.0017957009255896615
0 G903852325 G903852325 0.002365436906456006
0 G002441305 G002441305 0.002365436906456006
0 G016939345 G016939345 0.002365436906456006
0 G903836515 G903836515 0.002365436906456006
0 G903959815 G903959815 0.002365436906456006
0 G903908245 G903908245 0.002365436906456006
