Gene Species Taxon Signature
0 G002710085 G002710085 0.025624683319841003
0 G002719095 G002719095 0.021957938667745154
0 G002705575 G002705575 0.021957938667745154
0 G002701185 G002701185 0.011865663276500762
0 G002694025 G002694025 0.021957938667745154
0 G902602795 G902602795 0.021957938667745154
0 G002167465 G002167465 0.011865663276500762
0 G012963075 G012963075 0.021957938667745154
0 G002691285 G002691285 0.021957938667745154
0 G902575395 G902575395 0.021957938667745154
0 G002348725 G002348725 0.021957938667745154
0 G002707645 G002707645 0.011865663276500762
0 G902624275 G902624275 0.0012199586727155388
0 G014239355 G014239355 0.011865663276500762
0 G002705605 G002705605 0.011865663276500762
0 G002711465 G002711465 0.011865663276500762
0 G002693365 G002693365 0.011865663276500762
0 G002707765 G002707765 0.009274528166860512
0 G002718585 G002718585 0.009274528166860512
0 G002704685 G002704685 0.009274528166860512
0 G002717625 G002717625 0.009274528166860512
0 G002731795 G002731795 0.009274528166860512
0 G002591605 G002591605 0.009274528166860512
0 G002171125 G002171125 0.009274528166860512
0 G002703645 G002703645 0.009274528166860512
0 G001577215 G001577215 0.004511429047067924
0 G002170735 G002170735 0.004511429047067924
0 G016937825 G016937825 0.004511429047067924
