Gene Species Taxon Signature
0 G002686955 G002686955 0.11616588765837763
0 G016871895 G016871895 0.007012116001183858
0 G002718595 G002718595 0.030509175133913057
0 G012959595 G012959595 0.030509175133913057
0 G012267505 G012267505 0.011944648538592033
0 G011390645 G011390645 0.007012116001183858
0 G014192065 G014192065 0.007012116001183858
0 G002346625 G002346625 0.0028573401571556256
0 G009838975 G009838975 0.0028573401571556256
0 G013822285 G013822285 0.007012116001183858
0 G016874035 G016874035 0.007012116001183858
0 G001780825 G001780825 0.0028573401571556256
0 G009841165 G009841165 0.0028573401571556256
0 G016720905 G016720905 0.0012342790611673726
0 G009692115 G009692115 0.0023904308054449224
0 G016871915 G016871915 0.0023904308054449224
0 G903906325 G903906325 0.0023904308054449224
0 G016704275 G016704275 0.0011101465679504154
0 G002348465 G002348465 0.0028573401571556256
0 G002348265 G002348265 0.0028573401571556256
0 G903882745 G903882745 0.0011101465679504154
0 G016712265 G016712265 0.0011101465679504154
0 G016720805 G016720805 0.0011101465679504154
0 G903910555 G903910555 0.0011101465679504154
0 G002500925 G002500925 0.0028573401571556256
0 G007120305 G007120305 0.0028573401571556256
0 G002313925 G002313925 0.0028573401571556256
0 G002501085 G002501085 0.0028573401571556256
0 G009844885 G009844885 0.0028573401571556256
0 G009841475 G009841475 0.0028573401571556256
0 G002724575 G002724575 0.0028573401571556256
0 G012960225 G012960225 0.0028573401571556256
0 G003567615 G003567615 0.0028573401571556256
0 G007695195 G007695195 0.0028573401571556256
0 G007692665 G007692665 0.0028573401571556256
0 G016934095 G016934095 0.0028573401571556256
0 G002238865 G002238865 0.0028573401571556256
0 G007692505 G007692505 0.0028573401571556256
0 G002311875 G002311875 0.0028573401571556256
