Gene Species Taxon Signature
0 G003105305 G003105305 0.011035353200472489
0 G003104975 G003104975 0.011035353200472489
0 G016209635 G016209635 0.003683021655670196
0 G003221695 G003221695 0.003683021655670196
0 G016209735 G016209735 0.011035353200472489
0 G016209725 G016209725 0.011035353200472489
0 G003220685 G003220685 0.0018330270692179101
0 G902196205 G902196205 0.011035353200472489
0 G003044035 G003044035 0.011035353200472489
0 G000091165 G000091165 0.007547031448017015
0 G001771285 G001771285 0.007547031448017015
0 G016190285 G016190285 0.007547031448017015
0 G016180655 G016180655 0.007547031448017015
0 G016208645 G016208645 0.007547031448017015
0 G011054645 G011054645 0.007547031448017015
0 G016190255 G016190255 0.007547031448017015
0 G002634395 G002634395 0.007547031448017015
0 G016207095 G016207095 0.0022497197340153245
